ling_category,set_n,sentence_n,scale,premise,hypothesis,category,label
4,137,6,muhtemelen-kesin,Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartıştılar.,Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin.,neutral,1
4,137,7,muhtemelen-kesin,Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin.,Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartışmadılar.,contradiction,2
4,137,8,muhtemelen-kesin,Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartışmadılar.,Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin.,contradiction,2
1,83,1,zararlı-ölümcül,Bu kadar yüksek ses insanlar için zararlı.,Bu kadar yüksek ses insanlar için ölümcül değil.,implicature,3
1,83,2,zararlı-ölümcül,Bu kadar yüksek ses insanlar için ölümcül değil.,Bu kadar yüksek ses insanlar için zararlı.,implicature,3
1,83,3,zararlı-ölümcül,Bu kadar yüksek ses insanlar için zararlı değil.,Bu kadar yüksek ses insanlar için ölümcül değil.,entailment,0
1,83,4,zararlı-ölümcül,Bu kadar yüksek ses insanlar için ölümcül.,Bu kadar yüksek ses insanlar için zararlı.,entailment,0
1,83,5,zararlı-ölümcül,Bu kadar yüksek ses insanlar için ölümcül değil.,Bu kadar yüksek ses insanlar için zararlı değil.,neutral,1
1,83,6,zararlı-ölümcül,Bu kadar yüksek ses insanlar için zararlı.,Bu kadar yüksek ses insanlar için ölümcül.,neutral,1
1,83,7,zararlı-ölümcül,Bu kadar yüksek ses insanlar için ölümcül.,Bu kadar yüksek ses insanlar için zararlı değil.,contradiction,2
1,83,8,zararlı-ölümcül,Bu kadar yüksek ses insanlar için zararlı değil.,Bu kadar yüksek ses insanlar için ölümcül.,contradiction,2
1,3,1,benzer-aynı,Galerideki o iki resim benzer.,Galerideki o iki resim aynı değil.,implicature,3
1,3,2,benzer-aynı,Galerideki o iki resim aynı değil.,Galerideki o iki resim benzer.,implicature,3
1,3,3,benzer-aynı,Galerideki o iki resim benzer değil.,Galerideki o iki resim aynı değil.,entailment,0
1,3,4,benzer-aynı,Galerideki o iki resim aynı.,Galerideki o iki resim benzer.,entailment,0
1,3,5,benzer-aynı,Galerideki o iki resim aynı değil.,Galerideki o iki resim benzer değil.,neutral,1
1,3,6,benzer-aynı,Galerideki o iki resim benzer.,Galerideki o iki resim aynı.,neutral,1
1,3,7,benzer-aynı,Galerideki o iki resim aynı.,Galerideki o iki resim benzer değil.,contradiction,2
1,3,8,benzer-aynı,Galerideki o iki resim benzer değil.,Galerideki o iki resim aynı.,contradiction,2
2,308,1,seslenmek-bağırmak,Önünüzdeki gruba seslenmişler.,Önünüzdeki gruba bağırmamışlar.,implicature,3
2,308,2,seslenmek-bağırmak,Önünüzdeki gruba bağırmamışlar.,Önünüzdeki gruba seslenmişler.,implicature,3
2,308,3,seslenmek-bağırmak,Önünüzdeki gruba seslenmemişler.,Önünüzdeki gruba bağırmamışlar.,entailment,0
2,308,4,seslenmek-bağırmak,Önünüzdeki gruba bağırmışlar.,Önünüzdeki gruba seslenmişler.,entailment,0
2,308,5,seslenmek-bağırmak,Önünüzdeki gruba bağırmamışlar.,Önünüzdeki gruba seslenmemişler.,neutral,1
2,308,6,seslenmek-bağırmak,Önünüzdeki gruba seslenmişler.,Önünüzdeki gruba bağırmışlar.,neutral,1
2,308,7,seslenmek-bağırmak,Önünüzdeki gruba bağırmışlar.,Önünüzdeki gruba seslenmemişler.,contradiction,2
2,308,8,seslenmek-bağırmak,Önünüzdeki gruba seslenmemişler.,Önünüzdeki gruba bağırmışlar.,contradiction,2
1,136,1,yakın-bitişik,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakındı.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişik değildi.,implicature,3
1,136,2,yakın-bitişik,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişik değildi.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakındı.,implicature,3
1,136,3,yakın-bitişik,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakın değildi.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişik değildi.,entailment,0
1,136,4,yakın-bitişik,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişikti.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakındı.,entailment,0
1,136,5,yakın-bitişik,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişik değildi.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakın değildi.,neutral,1
1,136,6,yakın-bitişik,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakındı.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişikti.,neutral,1
1,136,7,yakın-bitişik,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişikti.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakın değildi.,contradiction,2
1,136,8,yakın-bitişik,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine yakın değildi.,Geçen sene ziyarete gittiğimiz akrabalarımızın evleri birbirine bitişikti.,contradiction,2
5,108,1,on-on iki,Denizde on saat beklemiş.,Denizde on iki saat beklememiş.,implicature,3
5,108,2,on-on iki,Denizde ondan fazla saat beklememiş.,Denizde on saat beklemiş.,implicature,3
5,108,3,on-on iki,Denizde on saat beklememiş.,Denizde on iki saat beklememiş.,entailment,0
5,108,4,on-on iki,Denizde on iki saat beklemiş.,Denizde on saat beklemiş.,entailment,0
5,108,5,on-on iki,Denizde on iki saat beklememiş.,Denizde on saat beklememiş.,neutral,1
5,108,6,on-on iki,Denizde on saat beklemiş.,Denizde on iki saat beklemiş.,neutral,1
5,108,7,on-on iki,Denizde on iki saat beklemiş.,Denizde on saat beklememiş.,contradiction,2
5,108,8,on-on iki,Denizde on saat beklememiş.,Denizde on iki saat beklemiş.,contradiction,2
5,108,9,on-on iki-c,Denizde on saat beklememiş.,Denizde ondan az saat beklemiş.,implicature,3
5,108,10,on-on iki-c,Denizde on saat beklememiş.,Denizde en fazla dokuz saat beklemiş.,implicature,3
5,108,11,on-on iki-c,Denizde on saat beklememiş.,Denizde en az bir saat beklemiş.,implicature,3
3,21,1,birkaç-bütün,Birkaç evini satmış.,Bütün evlerini satmamış.,implicature,3
3,21,2,birkaç-bütün,Bütün evlerini satmamış.,Birkaç evini satmış.,implicature,3
3,21,3,birkaç-bütün,Hiçbir evini satmamış.,Bütün evlerini satmamış.,entailment,0
3,21,4,birkaç-bütün,Bütün evlerini satmış.,Birkaç evini satmış.,entailment,0
3,21,5,birkaç-bütün,Bütün evlerini satmamış.,Hiçbir evini satmamış.,neutral,1
3,21,6,birkaç-bütün,Birkaç evini satmış.,Bütün evlerini satmış.,neutral,1
3,21,7,birkaç-bütün,Bütün evlerini satmış.,Hiçbir evini satmamış.,contradiction,2
3,21,8,birkaç-bütün,Hiçbir evini satmamış.,Bütün evlerini satmış.,contradiction,2
4,414,1,herhalde-yüzde yüz,Kendi futbol takımını herhalde bütün yıl takip etmiştir.,Kendi futbol takımını bütün yıl takip etmiş olması yüzde yüz değil.,implicature,3
4,414,2,herhalde-yüzde yüz,Kendi futbol takımını bütün yıl takip etmiş olması yüzde yüz değil.,Kendi futbol takımını herhalde bütün yıl takip etmiştir.,implicature,3
4,414,3,herhalde-yüzde yüz,Kendi futbol takımını herhalde bütün yıl takip etmemiştir.,Kendi futbol takımını bütün yıl takip etmiş olması yüzde yüz değil.,entailment,0
4,414,4,herhalde-yüzde yüz,Kendi futbol takımını yüzde yüz bütün yıl takip etmiştir.,Kendi futbol takımını herhalde bütün yıl takip etmiştir.,entailment,0
4,414,5,herhalde-yüzde yüz,Kendi futbol takımını bütün yıl takip etmiş olması yüzde yüz değil.,Kendi futbol takımını herhalde bütün yıl takip etmemiştir.,neutral,1
4,414,6,herhalde-yüzde yüz,Kendi futbol takımını herhalde bütün yıl takip etmiştir.,Kendi futbol takımını yüzde yüz bütün yıl takip etmiştir.,neutral,1
4,414,7,herhalde-yüzde yüz,Kendi futbol takımını yüzde yüz bütün yıl takip etmiştir.,Kendi futbol takımını herhalde bütün yıl takip etmemiştir.,contradiction,2
4,414,8,herhalde-yüzde yüz,Kendi futbol takımını herhalde bütün yıl takip etmemiştir.,Kendi futbol takımını yüzde yüz bütün yıl takip etmiştir.,contradiction,2
3,420,1,bazı-çok,Bazı yemeklerin tadı kötü.,Çoğu yemeğin tadı kötü değil.,implicature,3
3,420,2,bazı-çok,Çoğu yemeğin tadı kötü değil.,Bazı yemeklerin tadı kötü.,implicature,3
3,420,3,bazı-çok,Hiçbir yemeğin tadı kötü değil.,Çoğu yemeğin tadı kötü değil.,entailment,0
3,420,4,bazı-çok,Çoğu yemeğin tadı kötü.,Bazı yemeklerin tadı kötü.,entailment,0
3,420,5,bazı-çok,Çoğu yemeğin tadı kötü değil.,Hiçbir yemeğin tadı kötü değil.,neutral,1
3,420,6,bazı-çok,Bazı yemeklerin tadı kötü.,Çoğu yemeğin tadı kötü.,neutral,1
3,420,7,bazı-çok,Çoğu yemeğin tadı kötü.,Hiçbir yemeğin tadı kötü değil.,contradiction,2
3,420,8,bazı-çok,Hiçbir yemeğin tadı kötü değil.,Çoğu yemeğin tadı kötü.,contradiction,2
3,113,1,birkaç-hepsi,Denemelerinin birkaçı başarılı oldu.,Denemelerinin hepsi başarısız oldu.,implicature,3
3,113,2,birkaç-hepsi,Denemelerinin hepsi başarısız oldu.,Denemelerinin birkaçı başarılı oldu.,implicature,3
3,113,3,birkaç-hepsi,Denemelerinin hiçbiri başarısız oldu.,Denemelerinin hepsi başarısız oldu.,entailment,0
3,113,4,birkaç-hepsi,Denemelerinin hepsi başarılı oldu.,Denemelerinin birkaçı başarılı oldu.,entailment,0
3,113,5,birkaç-hepsi,Denemelerinin hepsi başarısız oldu.,Denemelerinin hiçbiri başarısız oldu.,neutral,1
3,113,6,birkaç-hepsi,Denemelerinin birkaçı başarılı oldu.,Denemelerinin hepsi başarılı oldu.,neutral,1
3,113,7,birkaç-hepsi,Denemelerinin hepsi başarılı oldu.,Denemelerinin hiçbiri başarısız oldu.,contradiction,2
3,113,8,birkaç-hepsi,Denemelerinin hiçbiri başarısız oldu.,Denemelerinin hepsi başarılı oldu.,contradiction,2
2,422,1,serinlemek-üşümek,Balkona çıkınca serinledik.,Balkona çıkınca üşümedik.,implicature,3
2,422,2,serinlemek-üşümek,Balkona çıkınca üşümedik.,Balkona çıkınca serinledik.,implicature,3
2,422,3,serinlemek-üşümek,Balkona çıkınca serinlemedik.,Balkona çıkınca üşümedik.,entailment,0
2,422,4,serinlemek-üşümek,Balkona çıkınca üşüdük.,Balkona çıkınca serinledik.,entailment,0
2,422,5,serinlemek-üşümek,Balkona çıkınca üşümedik.,Balkona çıkınca serinlemedik.,neutral,1
2,422,6,serinlemek-üşümek,Balkona çıkınca serinledik.,Balkona çıkınca üşüdük.,neutral,1
2,422,7,serinlemek-üşümek,Balkona çıkınca üşüdük.,Balkona çıkınca serinlemedik.,contradiction,2
2,422,8,serinlemek-üşümek,Balkona çıkınca serinlemedik.,Balkona çıkınca üşüdük.,contradiction,2
2,220,1,başlamak-bitirmek,Yeni kitap serisini okumaya başladı.,Yeni kitap serisini okumayı bitirmedi.,implicature,3
2,220,2,başlamak-bitirmek,Yeni kitap serisini okumayı bitirmedi.,Yeni kitap serisini okumaya başladı.,implicature,3
2,220,3,başlamak-bitirmek,Yeni kitap serisini okumaya başlamadı.,Yeni kitap serisini okumayı bitirmedi.,entailment,0
2,220,4,başlamak-bitirmek,Yeni kitap serisini okumayı bitirdi.,Yeni kitap serisini okumaya başladı.,entailment,0
2,220,5,başlamak-bitirmek,Yeni kitap serisini okumayı bitirmedi.,Yeni kitap serisini okumaya başlamadı.,neutral,1
2,220,6,başlamak-bitirmek,Yeni kitap serisini okumaya başladı.,Yeni kitap serisini okumayı bitirdi.,neutral,1
2,220,7,başlamak-bitirmek,Yeni kitap serisini okumayı bitirdi.,Yeni kitap serisini okumaya başlamadı.,contradiction,2
2,220,8,başlamak-bitirmek,Yeni kitap serisini okumaya başlamadı.,Yeni kitap serisini okumayı bitirdi.,contradiction,2
2,193,1,algılamak-kavramak,O aşçının yanında farklı mutfakların lezzetlerini algılamış.,O aşçının yanında farklı mutfakların lezzetlerini kavramamış.,implicature,3
2,193,2,algılamak-kavramak,O aşçının yanında farklı mutfakların lezzetlerini kavramamış.,O aşçının yanında farklı mutfakların lezzetlerini algılamış.,implicature,3
2,193,3,algılamak-kavramak,O aşçının yanında farklı mutfakların lezzetlerini algılamamış.,O aşçının yanında farklı mutfakların lezzetlerini kavramamış.,entailment,0
2,193,4,algılamak-kavramak,O aşçının yanında farklı mutfakların lezzetlerini kavramış.,O aşçının yanında farklı mutfakların lezzetlerini algılamış.,entailment,0
2,193,5,algılamak-kavramak,O aşçının yanında farklı mutfakların lezzetlerini kavramamış.,O aşçının yanında farklı mutfakların lezzetlerini algılamamış.,neutral,1
2,193,6,algılamak-kavramak,O aşçının yanında farklı mutfakların lezzetlerini algılamış.,O aşçının yanında farklı mutfakların lezzetlerini kavramış.,neutral,1
2,193,7,algılamak-kavramak,O aşçının yanında farklı mutfakların lezzetlerini kavramış.,O aşçının yanında farklı mutfakların lezzetlerini algılamamış.,contradiction,2
2,193,8,algılamak-kavramak,O aşçının yanında farklı mutfakların lezzetlerini algılamamış.,O aşçının yanında farklı mutfakların lezzetlerini kavramış.,contradiction,2
4,221,1,muhtemelen-kesin,Yan binaya muhtemelen tadilat yapıyorlar.,Yan binaya tadilat yaptıkları kesin değil.,implicature,3
4,221,2,muhtemelen-kesin,Yan binaya tadilat yaptıkları kesin değil.,Yan binaya muhtemelen tadilat yapıyorlar.,implicature,3
4,221,3,muhtemelen-kesin,Yan binaya muhtemelen tadilat yapmıyorlar.,Yan binaya tadilat yaptıkları kesin değil.,entailment,0
4,221,4,muhtemelen-kesin,Yan binaya tadilat yaptıkları kesin.,Yan binaya muhtemelen tadilat yapıyorlar.,entailment,0
4,221,5,muhtemelen-kesin,Yan binaya tadilat yaptıkları kesin değil.,Yan binaya muhtemelen tadilat yapmıyorlar.,neutral,1
4,221,6,muhtemelen-kesin,Yan binaya muhtemelen tadilat yapıyorlar.,Yan binaya tadilat yaptıkları kesin.,neutral,1
4,221,7,muhtemelen-kesin,Yan binaya tadilat yaptıkları kesin.,Yan binaya muhtemelen tadilat yapmıyorlar.,contradiction,2
4,221,8,muhtemelen-kesin,Yan binaya muhtemelen tadilat yapmıyorlar.,Yan binaya tadilat yaptıkları kesin.,contradiction,2
4,29,1,muhtemelen-kesin,Ağaçları muhtemelen sulayacaktır.,Ağaçları sulayacağı kesin değil.,implicature,3
4,29,2,muhtemelen-kesin,Ağaçları sulayacağı kesin değil.,Ağaçları muhtemelen sulayacaktır.,implicature,3
4,29,3,muhtemelen-kesin,Ağaçları muhtemelen sulamayacaktır.,Ağaçları sulayacağı kesin değil.,entailment,0
4,29,4,muhtemelen-kesin,Ağaçları sulayacağı kesin.,Ağaçları muhtemelen sulayacaktır.,entailment,0
4,29,5,muhtemelen-kesin,Ağaçları sulayacağı kesin değil.,Ağaçları muhtemelen sulamayacaktır.,neutral,1
4,29,6,muhtemelen-kesin,Ağaçları muhtemelen sulayacaktır.,Ağaçları sulayacağı kesin.,neutral,1
4,29,7,muhtemelen-kesin,Ağaçları sulayacağı kesin.,Ağaçları muhtemelen sulamayacaktır.,contradiction,2
4,29,8,muhtemelen-kesin,Ağaçları muhtemelen sulamayacaktır.,Ağaçları sulayacağı kesin.,contradiction,2
3,284,1,bazı-hepsi,Ülkelerin bazısı savaşa girdi.,Ülkelerin hepsi savaşa girmedi.,implicature,3
3,284,2,bazı-hepsi,Ülkelerin hepsi savaşa girmedi.,Ülkelerin bazısı savaşa girdi.,implicature,3
3,284,3,bazı-hepsi,Ülkelerin hiçbiri savaşa girmedi.,Ülkelerin hepsi savaşa girmedi.,entailment,0
3,284,4,bazı-hepsi,Ülkelerin hepsi savaşa girdi.,Ülkelerin bazısı savaşa girdi.,entailment,0
3,284,5,bazı-hepsi,Ülkelerin hepsi savaşa girmedi.,Ülkelerin hiçbiri savaşa girmedi.,neutral,1
3,284,6,bazı-hepsi,Ülkelerin bazısı savaşa girdi.,Ülkelerin hepsi savaşa girdi.,neutral,1
3,284,7,bazı-hepsi,Ülkelerin hepsi savaşa girdi.,Ülkelerin hiçbiri savaşa girmedi.,contradiction,2
3,284,8,bazı-hepsi,Ülkelerin hiçbiri savaşa girmedi.,Ülkelerin hepsi savaşa girdi.,contradiction,2
3,103,1,birkaç-hepsi,Şarkılarının birkaçını siz dinlediniz.,Şarkılarının hepsini siz dinlemediniz.,implicature,3
3,103,2,birkaç-hepsi,Şarkılarının hepsini siz dinlemediniz.,Şarkılarının birkaçını siz dinlediniz.,implicature,3
3,103,3,birkaç-hepsi,Şarkılarının hiçbirini siz dinlemediniz.,Şarkılarının hepsini siz dinlemediniz.,entailment,0
3,103,4,birkaç-hepsi,Şarkılarının hepsini siz dinlediniz.,Şarkılarının birkaçını siz dinlediniz.,entailment,0
3,103,5,birkaç-hepsi,Şarkılarının hepsini siz dinlemediniz.,Şarkılarının hiçbirini siz dinlemediniz.,neutral,1
3,103,6,birkaç-hepsi,Şarkılarının birkaçını siz dinlediniz.,Şarkılarının hepsini siz dinlediniz.,neutral,1
