scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
benzer-aynı,Topkapı Sarayı ve Dolmabahçe Sarayı benzer.,Topkapı Sarayı ve Dolmabahçe Sarayı aynı.,Topkapı Sarayı ve Dolmabahçe Sarayı benzer değil.,Topkapı Sarayı ve Dolmabahçe Sarayı aynı değil.,"Topkapı Sarayı ve Dolmabahçe Sarayı benzer, hatta aynı.","Topkapı Sarayı ve Dolmabahçe Sarayı benzer, belki de aynı.",Topkapı Sarayı ve Dolmabahçe Sarayı benzer ama aynı değil.,"Topkapı Sarayı ve Dolmabahçe Sarayı aynı değil, hatta benzer bile değil.","Topkapı Sarayı ve Dolmabahçe Sarayı aynı değil, belki benzer bile değil.",Topkapı Sarayı ve Dolmabahçe Sarayı aynı değil ama benzer.
benzer-aynı,Senin oynadığın oyun futbol ile benzer.,Senin oynadığın oyun futbol ile aynı.,Senin oynadığın oyun futbol ile benzer değil.,Senin oynadığın oyun futbol ile aynı değil.,"Senin oynadığın oyun futbol ile benzer, hatta aynı.","Senin oynadığın oyun futbol ile benzer, belki de aynı.",Senin oynadığın oyun futbol ile benzer ama aynı değil.,"Senin oynadığın oyun futbol ile aynı değil, hatta benzer bile değil.","Senin oynadığın oyun futbol ile aynı değil, belki benzer bile değil.",Senin oynadığın oyun futbol ile aynı değil ama benzer.
benzer-aynı,Bu iki tablo benzer.,Bu iki tablo aynı.,Bu iki tablo benzer değil.,Bu iki tablo aynı değil.,"Bu iki tablo benzer, hatta aynı.","Bu iki tablo benzer, belki de aynı.",Bu iki tablo benzer ama aynı değil.,"Bu iki tablo aynı değil, hatta benzer bile değil.","Bu iki tablo aynı değil, belki benzer bile değil.",Bu iki tablo aynı değil ama benzer.
benzer-aynı,Konferansta anlatılan ile sınıfta dinlediğimiz şeyler benzer.,Konferansta anlatılan ile sınıfta dinlediğimiz şeyler aynı.,Konferansta anlatılan ile sınıfta dinlediğimiz şeyler benzer değil.,Konferansta anlatılan ile sınıfta dinlediğimiz şeyler aynı değil.,"Konferansta anlatılan ile sınıfta dinlediğimiz şeyler benzer, hatta aynı.","Konferansta anlatılan ile sınıfta dinlediğimiz şeyler benzer, belki de aynı.",Konferansta anlatılan ile sınıfta dinlediğimiz şeyler benzer ama aynı değil.,"Konferansta anlatılan ile sınıfta dinlediğimiz şeyler aynı değil, hatta benzer bile değil.","Konferansta anlatılan ile sınıfta dinlediğimiz şeyler aynı değil, belki benzer bile değil.",Konferansta anlatılan ile sınıfta dinlediğimiz şeyler aynı değil ama benzer.
benzer-aynı,Çocuklarının giydiği kıyafetler benzer.,Çocuklarının giydiği kıyafetler aynı.,Çocuklarının giydiği kıyafetler benzer değil.,Çocuklarının giydiği kıyafetler aynı değil.,"Çocuklarının giydiği kıyafetler benzer, hatta aynı.","Çocuklarının giydiği kıyafetler benzer, belki de aynı.",Çocuklarının giydiği kıyafetler benzer ama aynı değil.,"Çocuklarının giydiği kıyafetler aynı değil, hatta benzer bile değil.","Çocuklarının giydiği kıyafetler aynı değil, belki benzer bile değil.",Çocuklarının giydiği kıyafetler aynı değil ama benzer.
benzer-aynı,Senin ve benim süratimiz benzer.,Senin ve benim süratimiz aynı.,Senin ve benim süratimiz benzer değil.,Senin ve benim süratimiz aynı değil.,"Senin ve benim süratimiz benzer, hatta aynı.","Senin ve benim süratimiz benzer, belki de aynı.",Senin ve benim süratimiz benzer ama aynı değil.,"Senin ve benim süratimiz aynı değil, hatta benzer bile değil.","Senin ve benim süratimiz aynı değil, belki benzer bile değil.",Senin ve benim süratimiz aynı değil ama benzer.
benzer-aynı,Elde edilen teknolojik gelişmeler benzer.,Elde edilen teknolojik gelişmeler aynı.,Elde edilen teknolojik gelişmeler benzer değil.,Elde edilen teknolojik gelişmeler aynı değil.,"Elde edilen teknolojik gelişmeler benzer, hatta aynı.","Elde edilen teknolojik gelişmeler benzer, belki de aynı.",Elde edilen teknolojik gelişmeler benzer ama aynı değil.,"Elde edilen teknolojik gelişmeler aynı değil, hatta benzer bile değil.","Elde edilen teknolojik gelişmeler aynı değil, belki benzer bile değil.",Elde edilen teknolojik gelişmeler aynı değil ama benzer.
benzer-aynı,Bu konsoldaki oyunlar benzer.,Bu konsoldaki oyunlar aynı.,Bu konsoldaki oyunlar benzer değil.,Bu konsoldaki oyunlar aynı değil.,"Bu konsoldaki oyunlar benzer, hatta aynı.","Bu konsoldaki oyunlar benzer, belki de aynı.",Bu konsoldaki oyunlar benzer ama aynı değil.,"Bu konsoldaki oyunlar aynı değil, hatta benzer bile değil.","Bu konsoldaki oyunlar aynı değil, belki benzer bile değil.",Bu konsoldaki oyunlar aynı değil ama benzer.
benzer-aynı,Şehir yapılanmamız benzer.,Şehir yapılanmamız aynı.,Şehir yapılanmamız benzer değil.,Şehir yapılanmamız aynı değil.,"Şehir yapılanmamız benzer, hatta aynı.","Şehir yapılanmamız benzer, belki de aynı.",Şehir yapılanmamız benzer ama aynı değil.,"Şehir yapılanmamız aynı değil, hatta benzer bile değil.","Şehir yapılanmamız aynı değil, belki benzer bile değil.",Şehir yapılanmamız aynı değil ama benzer.
benzer-aynı,Tespit ettiğimiz gezegenlerin uyduları benzer.,Tespit ettiğimiz gezegenlerin uyduları aynı.,Tespit ettiğimiz gezegenlerin uyduları benzer değil.,Tespit ettiğimiz gezegenlerin uyduları aynı değil.,"Tespit ettiğimiz gezegenlerin uyduları benzer, hatta aynı.","Tespit ettiğimiz gezegenlerin uyduları benzer, belki de aynı.",Tespit ettiğimiz gezegenlerin uyduları benzer ama aynı değil.,"Tespit ettiğimiz gezegenlerin uyduları aynı değil, hatta benzer bile değil.","Tespit ettiğimiz gezegenlerin uyduları aynı değil, belki benzer bile değil.",Tespit ettiğimiz gezegenlerin uyduları aynı değil ama benzer.
benzer-aynı,İki şehrin mimarisi benzer.,İki şehrin mimarisi aynı.,İki şehrin mimarisi benzer değil.,İki şehrin mimarisi aynı değil.,"İki şehrin mimarisi benzer, hatta aynı.","İki şehrin mimarisi benzer, belki de aynı.",İki şehrin mimarisi benzer ama aynı değil.,"İki şehrin mimarisi aynı değil, hatta benzer bile değil.","İki şehrin mimarisi aynı değil, belki benzer bile değil.",İki şehrin mimarisi aynı değil ama benzer.
benzer-aynı,Yüksek performanslı araçların maliyeti benzer.,Yüksek performanslı araçların maliyeti aynı.,Yüksek performanslı araçların maliyeti benzer değil.,Yüksek performanslı araçların maliyeti aynı değil.,"Yüksek performanslı araçların maliyeti benzer, hatta aynı.","Yüksek performanslı araçların maliyeti benzer, belki de aynı.",Yüksek performanslı araçların maliyeti benzer ama aynı değil.,"Yüksek performanslı araçların maliyeti aynı değil, hatta benzer bile değil.","Yüksek performanslı araçların maliyeti aynı değil, belki benzer bile değil.",Yüksek performanslı araçların maliyeti aynı değil ama benzer.
benzer-aynı,Hafif ekipmanların prosedürleri benzer.,Hafif ekipmanların prosedürleri aynı.,Hafif ekipmanların prosedürleri benzer değil.,Hafif ekipmanların prosedürleri aynı değil.,"Hafif ekipmanların prosedürleri benzer, hatta aynı.","Hafif ekipmanların prosedürleri benzer, belki de aynı.",Hafif ekipmanların prosedürleri benzer ama aynı değil.,"Hafif ekipmanların prosedürleri aynı değil, hatta benzer bile değil.","Hafif ekipmanların prosedürleri aynı değil, belki benzer bile değil.",Hafif ekipmanların prosedürleri aynı değil ama benzer.
benzer-aynı,Düşük kapasiteli buzdolaplarının harcadıkları enerji benzer.,Düşük kapasiteli buzdolaplarının harcadıkları enerji aynı.,Düşük kapasiteli buzdolaplarının harcadıkları enerji benzer değil.,Düşük kapasiteli buzdolaplarının harcadıkları enerji aynı değil.,"Düşük kapasiteli buzdolaplarının harcadıkları enerji benzer, hatta aynı.","Düşük kapasiteli buzdolaplarının harcadıkları enerji benzer, belki de aynı.",Düşük kapasiteli buzdolaplarının harcadıkları enerji benzer ama aynı değil.,"Düşük kapasiteli buzdolaplarının harcadıkları enerji aynı değil, hatta benzer bile değil.","Düşük kapasiteli buzdolaplarının harcadıkları enerji aynı değil, belki benzer bile değil.",Düşük kapasiteli buzdolaplarının harcadıkları enerji aynı değil ama benzer.
benzer-aynı,Şık ve elegan takımların fiyatları benzer.,Şık ve elegan takımların fiyatları aynı.,Şık ve elegan takımların fiyatları benzer değil.,Şık ve elegan takımların fiyatları aynı değil.,"Şık ve elegan takımların fiyatları benzer, hatta aynı.","Şık ve elegan takımların fiyatları benzer, belki de aynı.",Şık ve elegan takımların fiyatları benzer ama aynı değil.,"Şık ve elegan takımların fiyatları aynı değil, hatta benzer bile değil.","Şık ve elegan takımların fiyatları aynı değil, belki benzer bile değil.",Şık ve elegan takımların fiyatları aynı değil ama benzer.
benzer-aynı,Güncel teorilerin çıkış noktası benzer.,Güncel teorilerin çıkış noktası aynı.,Güncel teorilerin çıkış noktası benzer değil.,Güncel teorilerin çıkış noktası aynı değil.,"Güncel teorilerin çıkış noktası benzer, hatta aynı.","Güncel teorilerin çıkış noktası benzer, belki de aynı.",Güncel teorilerin çıkış noktası benzer ama aynı değil.,"Güncel teorilerin çıkış noktası aynı değil, hatta benzer bile değil.","Güncel teorilerin çıkış noktası aynı değil, belki benzer bile değil.",Güncel teorilerin çıkış noktası aynı değil ama benzer.
benzer-aynı,Battaniyelerin hammadesi benzer.,Battaniyelerin hammadesi aynı.,Battaniyelerin hammadesi benzer değil.,Battaniyelerin hammadesi aynı değil.,"Battaniyelerin hammadesi benzer, hatta aynı.","Battaniyelerin hammadesi benzer, belki de aynı.",Battaniyelerin hammadesi benzer ama aynı değil.,"Battaniyelerin hammadesi aynı değil, hatta benzer bile değil.","Battaniyelerin hammadesi aynı değil, belki benzer bile değil.",Battaniyelerin hammadesi aynı değil ama benzer.
benzer-aynı,Çevre dostu firmaların vizyonları benzer.,Çevre dostu firmaların vizyonları aynı.,Çevre dostu firmaların vizyonları benzer değil.,Çevre dostu firmaların vizyonları aynı değil.,"Çevre dostu firmaların vizyonları benzer, hatta aynı.","Çevre dostu firmaların vizyonları benzer, belki de aynı.",Çevre dostu firmaların vizyonları benzer ama aynı değil.,"Çevre dostu firmaların vizyonları aynı değil, hatta benzer bile değil.","Çevre dostu firmaların vizyonları aynı değil, belki benzer bile değil.",Çevre dostu firmaların vizyonları aynı değil ama benzer.
benzer-aynı,Deniz kenarındaki otellerin olanakları benzer.,Deniz kenarındaki otellerin olanakları aynı.,Deniz kenarındaki otellerin olanakları benzer değil.,Deniz kenarındaki otellerin olanakları aynı değil.,"Deniz kenarındaki otellerin olanakları benzer, hatta aynı.","Deniz kenarındaki otellerin olanakları benzer, belki de aynı.",Deniz kenarındaki otellerin olanakları benzer ama aynı değil.,"Deniz kenarındaki otellerin olanakları aynı değil, hatta benzer bile değil.","Deniz kenarındaki otellerin olanakları aynı değil, belki benzer bile değil.",Deniz kenarındaki otellerin olanakları aynı değil ama benzer.
benzer-aynı,Fonksiyonel spor giysilerinin kalitesi benzer.,Fonksiyonel spor giysilerinin kalitesi aynı.,Fonksiyonel spor giysilerinin kalitesi benzer değil.,Fonksiyonel spor giysilerinin kalitesi aynı değil.,"Fonksiyonel spor giysilerinin kalitesi benzer, hatta aynı.","Fonksiyonel spor giysilerinin kalitesi benzer, belki de aynı.",Fonksiyonel spor giysilerinin kalitesi benzer ama aynı değil.,"Fonksiyonel spor giysilerinin kalitesi aynı değil, hatta benzer bile değil.","Fonksiyonel spor giysilerinin kalitesi aynı değil, belki benzer bile değil.",Fonksiyonel spor giysilerinin kalitesi aynı değil ama benzer.
yeterli-tam,Araştırmalar yeterli.,Araştırmalar tam.,Araştırmalar yeterli değil.,Araştırmalar tam değil.,"Araştırmalar yeterli, hatta tam.","Araştırmalar yeterli, belki de tam.",Araştırmalar yeterli ama tam değil.,"Araştırmalar tam değil, hatta yeterli bile değil.","Araştırmalar tam değil, belki yeterli bile değil.",Araştırmalar tam değil ama yeterli.
yeterli-tam,Bu kadar yemek bu sınıfa yeterli.,Bu kadar yemek bu sınıfa tam.,Bu kadar yemek bu sınıfa yeterli değil.,Bu kadar yemek bu sınıfa tam değil.,"Bu kadar yemek bu sınıfa yeterli, hatta tam.","Bu kadar yemek bu sınıfa yeterli, belki de tam.",Bu kadar yemek bu sınıfa yeterli ama tam değil.,"Bu kadar yemek bu sınıfa tam değil, hatta yeterli bile değil.","Bu kadar yemek bu sınıfa tam değil, belki yeterli bile değil.",Bu kadar yemek bu sınıfa tam değil ama yeterli.
yeterli-tam,Bilgisayarın hafızası oyuncular için yeterli.,Bilgisayarın hafızası oyuncular için tam.,Bilgisayarın hafızası oyuncular için yeterli değil.,Bilgisayarın hafızası oyuncular için tam değil.,"Bilgisayarın hafızası oyuncular için yeterli, hatta tam.","Bilgisayarın hafızası oyuncular için yeterli, belki de tam.",Bilgisayarın hafızası oyuncular için yeterli ama tam değil.,"Bilgisayarın hafızası oyuncular için tam değil, hatta yeterli bile değil.","Bilgisayarın hafızası oyuncular için tam değil, belki yeterli bile değil.",Bilgisayarın hafızası oyuncular için tam değil ama yeterli.
yeterli-tam,Ülkedeki ağaç miktarı yeterli.,Ülkedeki ağaç miktarı tam.,Ülkedeki ağaç miktarı yeterli değil.,Ülkedeki ağaç miktarı tam değil.,"Ülkedeki ağaç miktarı yeterli, hatta tam.","Ülkedeki ağaç miktarı yeterli, belki de tam.",Ülkedeki ağaç miktarı yeterli ama tam değil.,"Ülkedeki ağaç miktarı tam değil, hatta yeterli bile değil.","Ülkedeki ağaç miktarı tam değil, belki yeterli bile değil.",Ülkedeki ağaç miktarı tam değil ama yeterli.
yeterli-tam,Son çıkan yazılımın özellikleri yeterli.,Son çıkan yazılımın özellikleri tam.,Son çıkan yazılımın özellikleri yeterli değil.,Son çıkan yazılımın özellikleri tam değil.,"Son çıkan yazılımın özellikleri yeterli, hatta tam.","Son çıkan yazılımın özellikleri yeterli, belki de tam.",Son çıkan yazılımın özellikleri yeterli ama tam değil.,"Son çıkan yazılımın özellikleri tam değil, hatta yeterli bile değil.","Son çıkan yazılımın özellikleri tam değil, belki yeterli bile değil.",Son çıkan yazılımın özellikleri tam değil ama yeterli.
yeterli-tam,Güvenlik kameraları konusunda yeterliyiz.,Güvenlik kameraları konusunda tamız.,Güvenlik kameraları konusunda yeterli değiliz.,Güvenlik kameraları konusunda tam değiliz.,"Güvenlik kameraları konusunda yeterliyiz, hatta tamız.","Güvenlik kameraları konusunda yeterliyiz, belki de tamız.",Güvenlik kameraları konusunda yeterliyiz ama tam değiliz.,"Güvenlik kameraları konusunda tam değiliz, hatta yeterli bile değiliz.","Güvenlik kameraları konusunda tam değiliz, belki yeterli bile değiliz.",Güvenlik kameraları konusunda tam değiliz ama yeterliyiz.
yeterli-tam,Saldırganın bilgileri şu anda yeterli.,Saldırganın bilgileri şu anda tam.,Saldırganın bilgileri şu anda yeterli değil.,Saldırganın bilgileri şu anda tam değil.,"Saldırganın bilgileri şu anda yeterli, hatta tam.","Saldırganın bilgileri şu anda yeterli, belki de tam.",Saldırganın bilgileri şu anda yeterli ama tam değil.,"Saldırganın bilgileri şu anda tam değil, hatta yeterli bile değil.","Saldırganın bilgileri şu anda tam değil, belki yeterli bile değil.",Saldırganın bilgileri şu anda tam değil ama yeterli.
yeterli-tam,Dizinin bu kadrosu yeterli.,Dizinin bu kadrosu tam.,Dizinin bu kadrosu yeterli değil.,Dizinin bu kadrosu tam değil.,"Dizinin bu kadrosu yeterli, hatta tam.","Dizinin bu kadrosu yeterli, belki de tam.",Dizinin bu kadrosu yeterli ama tam değil.,"Dizinin bu kadrosu tam değil, hatta yeterli bile değil.","Dizinin bu kadrosu tam değil, belki yeterli bile değil.",Dizinin bu kadrosu tam değil ama yeterli.
yeterli-tam,Hollanda'ya gidecek ekibin personel sayısı yeterli.,Hollanda'ya gidecek ekibin personel sayısı tam.,Hollanda'ya gidecek ekibin personel sayısı yeterli değil.,Hollanda'ya gidecek ekibin personel sayısı tam değil.,"Hollanda'ya gidecek ekibin personel sayısı yeterli, hatta tam.","Hollanda'ya gidecek ekibin personel sayısı yeterli, belki de tam.",Hollanda'ya gidecek ekibin personel sayısı yeterli ama tam değil.,"Hollanda'ya gidecek ekibin personel sayısı tam değil, hatta yeterli bile değil.","Hollanda'ya gidecek ekibin personel sayısı tam değil, belki yeterli bile değil.",Hollanda'ya gidecek ekibin personel sayısı tam değil ama yeterli.
yeterli-tam,Öğretmen sayısı geçen sene yeterliydi.,Öğretmen sayısı geçen sene tamdı.,Öğretmen sayısı geçen sene yeterli değildi.,Öğretmen sayısı geçen sene tam değildi.,"Öğretmen sayısı geçen sene yeterliydi, hatta tamdı.","Öğretmen sayısı geçen sene yeterliydi, belki de tamdı.",Öğretmen sayısı geçen sene yeterliydi ama tam değildi.,"Öğretmen sayısı geçen sene tam değildi, hatta yeterli bile değildi.","Öğretmen sayısı geçen sene tam değildi, belki yeterli bile değildi.",Öğretmen sayısı geçen sene tam değildi ama yeterliydi.
yeterli-tam,Bu şehirdeki terzi sayısı yeterli.,Bu şehirdeki terzi sayısı tam.,Bu şehirdeki terzi sayısı yeterli değil.,Bu şehirdeki terzi sayısı tam değil.,"Bu şehirdeki terzi sayısı yeterli, hatta tam.","Bu şehirdeki terzi sayısı yeterli, belki de tam.",Bu şehirdeki terzi sayısı yeterli ama tam değil.,"Bu şehirdeki terzi sayısı tam değil, hatta yeterli bile değil.","Bu şehirdeki terzi sayısı tam değil, belki yeterli bile değil.",Bu şehirdeki terzi sayısı tam değil ama yeterli.
yeterli-tam,Bu yılki bütçe yeterli.,Bu yılki bütçe tam.,Bu yılki bütçe yeterli değil.,Bu yılki bütçe tam değil.,"Bu yılki bütçe yeterli, hatta tam.","Bu yılki bütçe yeterli, belki de tam.",Bu yılki bütçe yeterli ama tam değil.,"Bu yılki bütçe tam değil, hatta yeterli bile değil.","Bu yılki bütçe tam değil, belki yeterli bile değil.",Bu yılki bütçe tam değil ama yeterli.
yeterli-tam,Resimde kullandığın mavi miktarı yeterli.,Resimde kullandığın mavi miktarı tam.,Resimde kullandığın mavi miktarı yeterli değil.,Resimde kullandığın mavi miktarı tam değil.,"Resimde kullandığın mavi miktarı yeterli, hatta tam.","Resimde kullandığın mavi miktarı yeterli, belki de tam.",Resimde kullandığın mavi miktarı yeterli ama tam değil.,"Resimde kullandığın mavi miktarı tam değil, hatta yeterli bile değil.","Resimde kullandığın mavi miktarı tam değil, belki yeterli bile değil.",Resimde kullandığın mavi miktarı tam değil ama yeterli.
yeterli-tam,Oturma odasındaki koltuk sayısı yeterli.,Oturma odasındaki koltuk sayısı tam.,Oturma odasındaki koltuk sayısı yeterli değil.,Oturma odasındaki koltuk sayısı tam değil.,"Oturma odasındaki koltuk sayısı yeterli, hatta tam.","Oturma odasındaki koltuk sayısı yeterli, belki de tam.",Oturma odasındaki koltuk sayısı yeterli ama tam değil.,"Oturma odasındaki koltuk sayısı tam değil, hatta yeterli bile değil.","Oturma odasındaki koltuk sayısı tam değil, belki yeterli bile değil.",Oturma odasındaki koltuk sayısı tam değil ama yeterli.
yeterli-tam,Ekran parlaklığı şu an için yeterli.,Ekran parlaklığı şu an için tam.,Ekran parlaklığı şu an için yeterli değil.,Ekran parlaklığı şu an için tam değil.,"Ekran parlaklığı şu an için yeterli, hatta tam.","Ekran parlaklığı şu an için yeterli, belki de tam.",Ekran parlaklığı şu an için yeterli ama tam değil.,"Ekran parlaklığı şu an için tam değil, hatta yeterli bile değil.","Ekran parlaklığı şu an için tam değil, belki yeterli bile değil.",Ekran parlaklığı şu an için tam değil ama yeterli.
yeterli-tam,Arabasındaki tekerlek sayısı yeterli.,Arabasındaki tekerlek sayısı tam.,Arabasındaki tekerlek sayısı yeterli değil.,Arabasındaki tekerlek sayısı tam değil.,"Arabasındaki tekerlek sayısı yeterli, hatta tam.","Arabasındaki tekerlek sayısı yeterli, belki de tam.",Arabasındaki tekerlek sayısı yeterli ama tam değil.,"Arabasındaki tekerlek sayısı tam değil, hatta yeterli bile değil.","Arabasındaki tekerlek sayısı tam değil, belki yeterli bile değil.",Arabasındaki tekerlek sayısı tam değil ama yeterli.
yeterli-tam,Bu grubun öğrenci sayısı yeterli.,Bu grubun öğrenci sayısı tam.,Bu grubun öğrenci sayısı yeterli değil.,Bu grubun öğrenci sayısı tam değil.,"Bu grubun öğrenci sayısı yeterli, hatta tam.","Bu grubun öğrenci sayısı yeterli, belki de tam.",Bu grubun öğrenci sayısı yeterli ama tam değil.,"Bu grubun öğrenci sayısı tam değil, hatta yeterli bile değil.","Bu grubun öğrenci sayısı tam değil, belki yeterli bile değil.",Bu grubun öğrenci sayısı tam değil ama yeterli.
yeterli-tam,Valizindeki gömlek sayısı yeterli.,Valizindeki gömlek sayısı tam.,Valizindeki gömlek sayısı yeterli değil.,Valizindeki gömlek sayısı tam değil.,"Valizindeki gömlek sayısı yeterli, hatta tam.","Valizindeki gömlek sayısı yeterli, belki de tam.",Valizindeki gömlek sayısı yeterli ama tam değil.,"Valizindeki gömlek sayısı tam değil, hatta yeterli bile değil.","Valizindeki gömlek sayısı tam değil, belki yeterli bile değil.",Valizindeki gömlek sayısı tam değil ama yeterli.
yeterli-tam,Ormanlarımızdaki ağaç miktarı yeterli.,Ormanlarımızdaki ağaç miktarı tam.,Ormanlarımızdaki ağaç miktarı yeterli değil.,Ormanlarımızdaki ağaç miktarı tam değil.,"Ormanlarımızdaki ağaç miktarı yeterli, hatta tam.","Ormanlarımızdaki ağaç miktarı yeterli, belki de tam.",Ormanlarımızdaki ağaç miktarı yeterli ama tam değil.,"Ormanlarımızdaki ağaç miktarı tam değil, hatta yeterli bile değil.","Ormanlarımızdaki ağaç miktarı tam değil, belki yeterli bile değil.",Ormanlarımızdaki ağaç miktarı tam değil ama yeterli.
yeterli-tam,Paranız bu iş için yeterliydi.,Paranız bu iş için tamdı.,Paranız bu iş için yeterli değildi.,Paranız bu iş için tam değildi.,"Paranız bu iş için yeterliydi, hatta tamdı.","Paranız bu iş için yeterliydi, belki de tamdı.",Paranız bu iş için yeterliydi ama tam değildi.,"Paranız bu iş için tam değildi, hatta yeterli bile değildi.","Paranız bu iş için tam değildi, belki yeterli bile değildi.",Paranız bu iş için tam değildi ama yeterliydi.
yeterli-tam,Elektronik müzik bilgisi yeterli.,Elektronik müzik bilgisi tam.,Elektronik müzik bilgisi yeterli değil.,Elektronik müzik bilgisi tam değil.,"Elektronik müzik bilgisi yeterli, hatta tam.","Elektronik müzik bilgisi yeterli, belki de tam.",Elektronik müzik bilgisi yeterli ama tam değil.,"Elektronik müzik bilgisi tam değil, hatta yeterli bile değil.","Elektronik müzik bilgisi tam değil, belki yeterli bile değil.",Elektronik müzik bilgisi tam değil ama yeterli.
