scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
birkaç-bütün,Birkaç şehri gezme fırsatımız oldu.,Bütün şehirleri gezme fırsatımız oldu.,Hiçbir şehri gezme fırsatımız olmadı.,Bütün şehirleri gezme fırsatımız olmadı.,"Birkaç şehri gezme fırsatımız oldu, hatta bütün şehirleri gezme fırsatımız oldu.","Birkaç şehri gezme fırsatımız oldu, belki de bütün şehirleri gezme fırsatımız oldu.",Birkaç şehri gezme fırsatımız oldu ama bütün şehirleri gezme fırsatımız olmadı.,"Bütün şehirleri gezme fırsatımız olmadı, hatta birkaç şehri bile gezme fırsatımız olmadı.","Bütün şehirleri gezme fırsatımız olmadı, belki de birkaç şehri bile gezme fırsatımız olmadı.",Bütün şehirleri gezme fırsatımız olmadı ama birkaç şehri gezme fırsatımız oldu.
birkaç-bütün,Birkaç kişiye yardım ettim.,Bütün kişilere yardım ettim.,Hiç kimseye yardım etmedim.,Bütün kişilere yardım etmedim.,"Birkaç kişiye yardım ettim, hatta bütün kişilere yardım ettim.","Birkaç kişiye yardım ettim, belki de bütün kişilere yardım ettim.",Birkaç kişiye yardım ettim ama bütün kişilere yardım etmedim.,"Bütün kişilere yardım etmedim, hatta birkaç kişiye bile yardım etmedim.","Bütün kişilere yardım etmedim, belki de birkaç kişiye bile yardım etmedim.",Bütün kişilere yardım etmedim ama birkaç kişiye yardım ettim.
birkaç-bütün,Kolonların birkaçı testi geçti.,Kolonların bütünü testi geçti.,Kolonların hiçbiri testi geçmedi.,Kolonların bütünü testi geçmedi.,"Kolonların birkaçı testi geçti, hatta bütünü testi geçti.","Kolonların birkaçı testi geçti, belki de bütünü testi geçti.",Kolonların birkaçı testi geçti ama bütünü testi geçmedi.,"Kolonların bütünü testi geçmedi, hatta birkaçı bile testi geçmedi.","Kolonların bütünü testi geçmedi, belki de birkaçı bile testi geçmedi.",Kolonların bütünü testi geçmedi ama birkaçı testi geçti.
birkaç-bütün,Akif birkaç kitabı okudu.,Akif bütün kitapları okudu.,Akif hiçbir kitabı okumadı.,Akif bütün kitapları okumadı.,"Akif birkaç kitabı okudu, hatta bütün kitapları okudu.","Akif birkaç kitabı okudu, belki de bütün kitapları okudu.",Akif birkaç kitabı okudu ama bütün kitapları okumadı.,"Akif bütün kitapları okumadı, hatta birkaç kitabı bile okumadı.","Akif bütün kitapları okumadı, belki de birkaç kitabı bile okumadı.",Akif bütün kitapları okumadı ama birkaç kitabı okudu.
birkaç-bütün,Tuşların birkaçı bozuk.,Tuşların bütünü bozuk.,Tuşların hiçbiri bozuk değil.,Tuşların bütünü bozuk değil.,"Tuşların birkaçı bozuk, hatta bütünü bozuk.","Tuşların birkaçı bozuk, belki de bütünü bozuk.",Tuşların birkaçı bozuk ama bütünü bozuk değil.,"Tuşların bütünü bozuk değil, hatta birkaçı bile bozuk değil.","Tuşların bütünü bozuk değil, belki de birkaçı bile bozuk değil.",Tuşların bütünü bozuk değil ama birkaçı bozuk.
birkaç-bütün,Birkaç oyuncu sakat.,Bütün oyuncular sakat.,Hiçbir oyuncu sakat değil.,Bütün oyuncular sakat değil.,"Birkaç oyuncu sakat, hatta bütün oyuncular sakat.","Birkaç oyuncu sakat, belki de bütün oyuncular sakat.",Birkaç oyuncu sakat ama bütün oyuncular sakat değil.,"Bütün oyuncular sakat değil, hatta birkaç oyuncu bile sakat değil.","Bütün oyuncular sakat değil, belki de birkaç oyuncu bile sakat değil.",Bütün oyuncular sakat değil ama birkaç oyuncu sakat.
birkaç-bütün,Birkaç parça eksik çıktı.,Bütün parçalar eksik çıktı.,Hiçbir parça eksik çıkmadı.,Bütün parçalar eksik çıkmadı.,"Birkaç parça eksik çıktı, hatta bütün parçalar eksik çıktı.","Birkaç parça eksik çıktı, belki de bütün parçalar eksik çıktı.",Birkaç parça eksik çıktı ama bütün parçalar eksik çıkmadı.,"Bütün parçalar eksik çıkmadı, hatta birkaç parça bile eksik çıkmadı.","Bütün parçalar eksik çıkmadı, belki de birkaç parça bile eksik çıkmadı.",Bütün parçalar eksik çıkmadı ama birkaç parça eksik çıktı.
birkaç-bütün,Ödül törenine birkaç arkadaşım katılmış.,Ödül törenine bütün arkadaşlarım katılmış.,Ödül törenine hiçbir arkadaşım katılmamış.,Ödül törenine bütün arkadaşlarım katılmamış.,"Ödül törenine birkaç arkadaşım katılmış, hatta bütün arkadaşlarım katılmış.","Ödül törenine birkaç arkadaşım katılmış, belki de bütün arkadaşlarım katılmış.",Ödül törenine birkaç arkadaşım katılmış ama bütün arkadaşlarım katılmamış.,"Ödül törenine bütün arkadaşlarım katılmamış, hatta birkaç arkadaşım bile katılmamış.","Ödül törenine bütün arkadaşlarım katılmamış, belki de birkaç arkadaşım bile katılmamış.",Ödül törenine bütün arkadaşlarım katılmamış ama birkaç arkadaşım katılmış.
birkaç-bütün,Yağmur yağan birkaç şehirde sel olmuş.,Yağmur yağan bütün şehirlerde sel olmuş.,Yağmur yağan hiçbir şehirde sel olmamış.,Yağmur yağan bütün şehirlerde sel olmamış.,"Yağmur yağan birkaç şehirde sel olmuş, hatta bütün şehirlerde sel olmuş.","Yağmur yağan birkaç şehirde sel olmuş, belki de bütün şehirlerde sel olmuş.",Yağmur yağan birkaç şehirde sel olmuş ama bütün şehirlerde sel olmamış.,"Yağmur yağan bütün şehirlerde sel olmamış, hatta birkaç şehirde bile sel olmamış.","Yağmur yağan bütün şehirlerde sel olmamış, belki de birkaç şehirde bile sel olmamış.",Yağmur yağan bütün şehirlerde sel olmamış ama birkaç şehirde sel olmuş.
birkaç-bütün,Birkaç evini satmış.,Bütün evlerini satmış.,Hiçbir evini satmamış.,Bütün evlerini satmamış.,"Birkaç evini satmış, hatta bütün evlerini satmış.","Birkaç evini satmış, belki de bütün evlerini satmış.",Birkaç evini satmış ama bütün evlerini satmamış.,"Bütün evlerini satmamış, hatta birkaç evini bile satmamış.","Bütün evlerini satmamış, belki de birkaç evini bile satmamış.",Bütün evlerini satmamış ama birkaç evini satmış.
birkaç-bütün,İşçilerin birkaçı yarın gelecekmiş.,İşçilerin bütünü yarın gelecekmiş.,İşçilerin hiçbiri yarın gelmeyecekmiş.,Bütün işçiler yarın gelmeyecekmiş.,"İşçilerin birkaçı yarın gelecekmiş, hatta bütünü yarın gelecekmiş.","İşçilerin birkaçı yarın gelecekmiş, belki bütünü yarın gelecekmiş.",İşçilerin birkaçı yarın gelecekmiş ama bütünü yarın gelmeyecekmiş.,"İşçilerin bütünü yarın gelmeyecekmiş, hatta birkaçı bile yarın gelmeyecekmiş.","İşçilerin bütünü yarın gelmeyecekmiş, belki birkaçı bile yarın gelmeyecekmiş.","İşçilerin bütünü yarın gelmeyecekmiş, ama birkaçı yarın gelecekmiş."
birkaç-bütün,Birkaç meyveyi dolaptan çıkar.,Bütün meyveleri dolaptan çıkar.,Hiçbir meyveyi dolaptan çıkarma.,Bütün meyveleri dolaptan çıkarma.,"Birkaç meyveyi dolaptan çıkar, hatta bütün meyveleri dolaptan çıkar.","Birkaç meyveyi dolaptan çıkar, belki de bütün meyveleri dolaptan çıkar.",Birkaç meyveyi dolaptan çıkar ama bütün meyveleri dolaptan çıkarma.,"Bütün meyveleri dolaptan çıkarma, hatta birkaç meyveyi bile dolaptan çıkarma.","Bütün meyveleri dolaptan çıkarma, belki de birkaç meyveyi bile dolaptan çıkarma.",Bütün meyveleri dolaptan çıkarma ama birkaç meyveyi dolaptan çıkar.
birkaç-bütün,Dolar karşısında birkaç para birimi erimiş.,Dolar karşısında bütün para birimleri erimiş.,Dolar karşısında hiçbir para birimi erimemiş.,Dolar karşısında bütün para birimleri erimemiş.,"Dolar karşısında birkaç para birimi erimiş, hatta bütün para birimleri erimiş.","Dolar karşısında birkaç para birimi erimiş, belki de bütün para birimleri erimiş.",Dolar karşısında birkaç para birimi erimiş ama bütün para birimleri erimemiş.,"Dolar karşısında bütün para birimleri erimemiş, hatta birkaç para birimi bile erimemiş.","Dolar karşısında bütün para birimleri erimemiş, belki de birkaç para birimi bile erimemiş.",Dolar karşısında bütün para birimleri erimemiş ama birkaç para birimi erimiş.
birkaç-bütün,Köşelerin birkaçı yamuk.,Bütün köşeler yamuk.,Köşelerin hiçbiri yamuk değil.,Bütün köşeler yamuk değil.,"Köşelerin birkaçı yamuk, hatta bütün köşeler yamuk.","Köşelerin birkaçı yamuk, belki de bütün köşeler yamuk.",Köşelerin birkaçı yamuk ama bütün köşeler yamuk değil.,"Bütün köşeler yamuk değil, hatta köşelerin birkaçı bile yamuk değil.","Bütün köşeler yamuk değil, belki de köşelerin birkaçı bile yamuk değil.",Bütün köşeler yamuk değil ama köşelerin birkaçı yamuk.
birkaç-bütün,Hasta çocukların birkaçını görme fırsatım oldu.,Bütün hasta çocukları görme fırsatım oldu.,Hasta çocukların hiçbirini görme fırsatım olmadı.,Bütün hasta çocukları görme fırsatım olmadı.,"Hasta çocukların birkaçını görme fırsatım oldu, hatta bütün hasta çocukları görme fırsatım oldu.","Hasta çocukların birkaçını görme fırsatım oldu, belki de bütün hasta çocukları görme fırsatım oldu.",Hasta çocukların birkaçını görme fırsatım oldu ama bütün hasta çocukları görme fırsatım olmadı.,"Bütün hasta çocukları görme fırsatım olmadı, hatta hasta çocukların birkaçını bile görme fırsatım olmadı.","Bütün hasta çocukları görme fırsatım olmadı, belki de hasta çocukların birkaçını bile görme fırsatım olmadı.",Bütün hasta çocukları görme fırsatım olmadı ama hasta çocukların birkaçını görme fırsatım oldu.
birkaç-bütün,Kırık gözlüklerin birkaçını değiştirdim.,Kırık gözlüklerin bütününü değiştirdim.,Kırık gözlüklerin hiçbirini değiştirmedim.,Kırık gözlüklerin bütününü değiştirmedim.,"Kırık gözlüklerin birkaçını değiştirdim, hatta bütününü değiştirdim.","Kırık gözlüklerin birkaçını değiştirdim, belki de bütününü değiştirdim.",Kırık gözlüklerin birkaçını değiştirdim ama bütününü değiştirmedim.,"Kırık gözlüklerin bütününü değiştirmedim, hatta birkaçını bile değiştirmedim.","Kırık gözlüklerin bütününü değiştirmedim, belki de birkaçını bile değiştirmedim.",Kırık gözlüklerin bütününü değiştirmedim ama birkaçını değiştirdim.
birkaç-bütün,Haftanın birkaç günü hava güneşli olacak.,Haftanın bütün günleri hava güneşli olacak.,Haftanın hiçbir günü hava güneşli olmayacak.,Haftanın bütün günleri hava güneşli olmayacak.,"Haftanın birkaç günü hava güneşli olacak, hatta bütün günleri hava güneşli olacak.","Haftanın birkaç günü hava güneşli olacak, belki de bütün günleri hava güneşli olacak.",Haftanın birkaç günü hava güneşli olacak ama bütün günleri hava güneşli olmayacak.,"Haftanın bütün günleri hava güneşli olmayacak, hatta birkaç günü bile hava güneşli olmayacak.","Haftanın bütün günleri hava güneşli olmayacak, belki de birkaç günü bile hava güneşli olmayacak.",Haftanın bütün günleri hava güneşli olmayacak ama birkaç günü hava güneşli olacak.
birkaç-bütün,Bisikletlilerin birkaçı yavaş.,Bütün bisikletliler yavaş.,Bisikletlilerin hiçbiri yavaş değil.,Bütün bisikletliler yavaş değil.,"Bisikletlilerin birkaçı yavaş, hatta bütün bisikletliler yavaş.","Bisikletlilerin birkaçı yavaş, belki de bütün bisikletliler yavaş.",Bisikletlilerin birkaçı yavaş ama bütün bisikletliler yavaş değil.,"Bütün bisikletliler yavaş değil, hatta bisikletlilerin birkaçı bile yavaş değil.","Bütün bisikletliler yavaş değil, belki de bisikletlilerin birkaçı bile yavaş değil.",Bütün bisikletliler yavaş değil ama bisikletlilerin birkaçı yavaş.
birkaç-bütün,Bu kitap bu şehirdeki birkaç kütüphanede var.,Bu kitap bu şehirdeki bütün kütüphanelerde var.,Bu kitap bu şehirdeki hiçbir kütüphanede yok.,Bu kitap bu şehirdeki bütün kütüphanelerde yok.,"Bu kitap bu şehirdeki birkaç kütüphanede var, hatta bütün kütüphanelerde var.","Bu kitap bu şehirdeki birkaç kütüphanede var, belki de bütün kütüphanelerde var.",Bu kitap bu şehirdeki birkaç kütüphanede var ama bütün kütüphanelerde yok.,"Bu kitap bu şehirdeki bütün kütüphanelerde yok, hatta birkaçında bile yok.","Bu kitap bu şehirdeki bütün kütüphanelerde yok, belki de birkaçında bile yok.",Bu kitap bu şehirdeki bütün kütüphanelerde yok ama birkaç kütüphanede var.
birkaç-bütün,Kuşların cıvıltısı birkaç çocuğu uyandırdı.,Kuşların cıvıltısı bütün çocukları uyandırdı.,Kuşların cıvıltısı hiçbir çocuğu uyandırmadı.,Kuşların cıvıltısı bütün çocukları uyandırmadı.,"Kuşların cıvıltısı birkaç çocuğu uyandırdı, hatta bütün çocukları uyandırdı.","Kuşların cıvıltısı birkaç çocuğu uyandırdı, belki de bütün çocukları uyandırdı.",Kuşların cıvıltısı birkaç çocuğu uyandırdı ama bütün çocukları uyandırmadı.,"Kuşların cıvıltısı bütün çocukları uyandırmadı, hatta birkaç çocuğu bile uyandırmadı.","Kuşların cıvıltısı bütün çocukları uyandırmadı, belki de birkaç çocuğu bile uyandırmadı.",Kuşların cıvıltısı bütün çocukları uyandırmadı ama birkaç çocuğu uyandırdı.
birkaç-bütün,Birkaç öğrenci ders çalışıyor.,Bütün öğrenciler ders çalışıyor.,Hiçbir öğrenci ders çalışmıyor.,Bütün öğrenciler ders çalışmıyor.,"Birkaç öğrenci ders çalışıyor, hatta bütün öğrenciler ders çalışıyor.","Birkaç öğrenci ders çalışıyor, belki de bütün öğrenciler ders çalışıyor.",Birkaç öğrenci ders çalışıyor ama bütün öğrenciler ders çalışmıyor.,"Bütün öğrenciler ders çalışmıyor, hatta birkaç öğrenci bile ders çalışmıyor.","Bütün öğrenciler ders çalışmıyor, belki de birkaç öğrenci bile ders çalışmıyor.",Bütün öğrenciler ders çalışmıyor ama birkaç öğrenci ders çalışıyor.
birkaç-bütün,Birkaç cadde yarın kapatılacak.,Bütün caddeler yarın kapatılacak.,Hiçbir cadde yarın kapatılmayacak.,Bütün caddeler yarın kapatılmayacak.,"Birkaç cadde yarın kapatılacak, hatta bütün caddeler yarın kapatılacak.","Birkaç cadde yarın kapatılacak, belki de bütün caddeler yarın kapatılacak.",Birkaç cadde yarın kapatılacak ama bütün caddeler yarın kapatılmayacak.,"Bütün caddeler yarın kapatılmayacak, hatta birkaç cadde bile kapatılmayacak.","Bütün caddeler yarın kapatılmayacak, belki de birkaç cadde bile kapatılmayacak.",Bütün caddeler yarın kapatılmayacak ama birkaç cadde kapatılacak.
birkaç-bütün,Çoraplarının birkaçını kaybetmişsin.,Bütün çoraplarını kaybetmişsin.,Çoraplarının hiçbirini kaybetmemişsin.,Bütün çoraplarını kaybetmemişsin.,"Çoraplarının birkaçını kaybetmişsin, hatta bütün çoraplarını kaybetmişsin.","Çoraplarının birkaçını kaybetmişsin, belki de bütün çoraplarını kaybetmişsin.",Çoraplarının birkaçını kaybetmişsin ama bütün çoraplarını kaybetmemişsin.,"Bütün çoraplarını kaybetmemişsin, hatta çoraplarının birkaçını bile kaybetmemişsin.","Bütün çoraplarını kaybetmemişsin, belki de çoraplarının birkaçını bile kaybetmemişsin.",Bütün çoraplarını kaybetmemişsin ama çoraplarının birkaçını kaybetmişsin.
birkaç-bütün,Birkaç tostu ben yedim.,Bütün tostları ben yedim.,Hiçbir tostu ben yemedim.,Bütün tostları ben yemedim.,"Birkaç tostu ben yedim, hatta bütün tostları ben yedim.","Birkaç tostu ben yedim, belki de bütün tostları ben yedim.",Birkaç tostu ben yedim ama bütün tostları ben yemedim.,"Bütün tostları ben yemedim, hatta birkaç tostu bile ben yemedim.","Bütün tostları ben yemedim, belki de birkaç tostu bile ben yemedim.",Bütün tostları ben yemedim ama birkaç tostu ben yedim.
birkaç-bütün,Ayakkabılarının birkaçını boyadı.,Bütün ayakkabılarını boyadı.,Ayakkabılarının hiçbirini boyamadı.,Bütün ayakkabılarını boyamadı.,"Ayakkabılarının birkaçını boyadı, hatta bütün ayakkabılarını boyadı.","Ayakkabılarının birkaçını boyadı, belki de bütün ayakkabılarını boyadı.",Ayakkabılarının birkaçını boyadı ama bütün ayakkabılarını boyamadı.,"Bütün ayakkabılarını boyamadı, hatta ayakkabılarının birkaçını bile boyamadı.","Bütün ayakkabılarını boyamadı, belki de ayakkabılarının birkaçını bile boyamadı.",Bütün ayakkabılarını boyamadı ama ayakkabılarının birkaçını boyadı.
birkaç-bütün,Dün birkaç çiçeği suladım.,Dün bütün çiçekleri suladım.,Dün hiçbir çiçeği sulamadım.,Dün bütün çiçekleri sulamadım.,"Dün birkaç çiçeği suladım, hatta bütün çiçekleri suladım.","Dün birkaç çiçeği suladım, belki de bütün çiçekleri suladım.",Dün birkaç çiçeği suladım ama bütün çiçekleri sulamadım.,"Dün bütün çiçekleri sulamadım, hatta birkaç çiçeği bile sulamadım.","Dün bütün çiçekleri sulamadım, belki de birkaç çiçeği bile sulamadım.",Dün bütün çiçekleri sulamadım ama birkaç çiçeği suladım.
birkaç-bütün,Bugün birkaç kedisini yıkadım.,Bugün bütün kedilerini yıkadım.,Bugün hiçbir kedisini yıkamadım.,Bugün bütün kedilerini yıkamadım.,"Bugün birkaç kedisini yıkadım, hatta bütün kedilerini yıkadım.","Bugün birkaç kedisini yıkadım, belki de bütün kedilerini yıkadım.",Bugün birkaç kedisini yıkadım ama bütün kedilerini yıkamadım.,"Bugün bütün kedilerini yıkamadım, hatta birkaç kedisini bile yıkamadım.","Bugün bütün kedilerini yıkamadım, belki de birkaç kedisini bile yıkamadım.",Bugün bütün kedilerini yıkamadım ama birkaç kedisini yıkadım.
birkaç-bütün,Evlerinin birkaç camını silmişsiniz.,Evlerinin bütün camlarını silmişsiniz.,Evlerinin hiçbir camını silmemişsiniz.,Evlerinin bütün camlarını silmemişsiniz.,"Evlerinin birkaç camını silmişsiniz, hatta bütün camlarını silmişsiniz.","Evlerinin birkaç camını silmişsiniz, belki de bütün camlarını silmişsiniz.",Evlerinin birkaç camını silmişsiniz ama bütün camlarını silmemişsiniz.,"Evlerinin bütün camlarını silmemişsiniz, hatta birkaç camını bile silmemişsiniz.","Evlerinin bütün camlarını silmemişsiniz, belki de birkaç camını bile silmemişsiniz.",Evlerinin bütün camlarını silmemişsiniz ama birkaç camını silmişsiniz.
birkaç-bütün,Birkaç fidan kurumuş.,Bütün fidanlar kurumuş.,Hiçbir fidan kurumamış.,Bütün fidanlar kurumamış.,"Birkaç fidan kurumuş, hatta bütün fidanlar kurumuş.","Birkaç fidan kurumuş, belki de bütün fidanlar kurumuş.",Birkaç fidan kurumuş ama bütün fidanlar kurumamış.,"Bütün fidanlar kurumamış, hatta birkaç fidan bile kurumamış.","Bütün fidanlar kurumamış, belki de birkaç fidan bile kurumamış.",Bütün fidanlar kurumamış ama birkaç fidan kurumuş.
birkaç-bütün,Birkaç köprü kapatılmış.,Bütün köprüler kapatılmış.,Hiçbir köprü kapatılmamış.,Bütün köprüler kapatılmamış.,"Birkaç köprü kapatılmış, hatta bütün köprüler kapatılmış.","Birkaç köprü kapatılmış, belki de bütün köprüler kapatılmış.",Birkaç köprü kapatılmış ama bütün köprüler kapatılmamış.,"Bütün köprüler kapatılmamış, hatta birkaç köprü bile kapatılmamış.","Bütün köprüler kapatılmamış, belki de birkaç köprü bile kapatılmamış.",Bütün köprüler kapatılmamış ama birkaç köprü kapatılmış.
birkaç-bütün,Bahçelerin birkaçına girilmiş.,Bütün bahçelere girilmiş.,Bahçelerin hiçbirine girilmemiş.,Bütün bahçelere girilmemiş.,"Bahçelerin birkaçına girilmiş, hatta bütün bahçelere girilmiş.","Bahçelerin birkaçına girilmiş, belki de bütün bahçelere girilmiş.",Bahçelerin birkaçına girilmiş ama bütün bahçelere girilmemiş.,"Bütün bahçelere girilmemiş, hatta bahçelerin birkaçına bile girilmemiş.","Bütün bahçelere girilmemiş, belki de bahçelerin birkaçına bile girilmemiş.",Bütün bahçelere girilmemiş ama bahçelerin birkaçına girilmiş.
birkaç-bütün,Projelerden birkaçı iptal edildi.,Bütün projeler iptal edildi.,Projelerden hiçbiri iptal edilmedi.,Bütün projeler iptal edilmedi.,"Projelerden birkaçı iptal edildi, hatta bütün projeler iptal edildi.","Projelerden birkaçı iptal edildi, belki de bütün projeler iptal edildi.",Projelerden birkaçı iptal edildi ama bütün projeler iptal edilmedi.,"Bütün projeler iptal edilmedi, hatta projelerden birkaçı bile iptal edilmedi.","Bütün projeler iptal edilmedi, belki de projelerden birkaçı bile iptal edilmedi.",Bütün projeler iptal edilmedi ama projelerden birkaçı iptal edildi.
