scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
muhtemelen-kesin,Kulaklıkla müzik dinleyenler muhtemelen duyacaklar.,Kulaklıkla müzik dinleyenlerin duyacakları kesin.,Kulaklıkla müzik dinleyenler muhtemelen duymayacaklar.,Kulaklıkla müzik dinleyenlerin duyacakları kesin değil.,"Kulaklıkla müzik dinleyenler muhtemelen duyacaklar, hatta duyacakları kesin.","Kulaklıkla müzik dinleyenler muhtemelen duyacaklar, duyacakları belki de kesin.",Kulaklıkla müzik dinleyenler muhtemelen duyacaklar ama duyacakları kesin değil.,"Kulaklıkla müzik dinleyenlerin duyacakları kesin değil, hatta muhtemelen duymayacaklar.","Kulaklıkla müzik dinleyenlerin duyacakları kesin değil, muhtemelen duymayacaklar bile.",Kulaklıkla müzik dinleyenlerin duyacakları kesin değil ama muhtemelen duyacaklar.
muhtemelen-kesin,Bu inşaat bu sene muhtemelen bitecek.,Bu inşaatın bu sene biteceği kesin.,Bu inşaat bu sene muhtemelen bitmeyecek.,Bu inşaatın bu sene biteceği kesin değil.,"Bu inşaat bu sene muhtemelen bitecek, hatta biteceği kesin.","Bu inşaat bu sene muhtemelen bitecek, biteceği belki de kesin.",Bu inşaat bu sene muhtemelen bitecek ama biteceği kesin değil.,"Bu inşaatın bu sene biteceği kesin değil, hatta muhtemelen bitmeyecek.","Bu inşaatın bu sene biteceği kesin değil, muhtemelen bitmeyecek bile.",Bu inşaatın bu sene biteceği kesin değil ama muhtemelen bitecek.
muhtemelen-kesin,Bu yıl okulu muhtemelen bitireceğim.,Bu yıl okulu bitireceğim kesin.,Bu yıl okulu muhtemelen bitirmeyeceğim.,Bu yıl okulu bitirmem kesin değil.,"Bu yıl okulu muhtemelen bitireceğim, hatta bitireceğim kesin.","Bu yıl okulu muhtemelen bitireceğim, bitireceğim belki de kesin.",Bu yıl okulu muhtemelen bitireceğim ama bitireceğim kesin değil.,"Bu yıl okulu bitirmem kesin değil, hatta muhtemelen bitirmeyeceğim.","Bu yıl okulu bitirmem kesin değil, muhtemelen bitirmeyeceğim bile.",Bu yıl okulu bitirmem kesin değil ama muhtemelen bitireceğim.
muhtemelen-kesin,İstediğimiz mekana muhtemelen gideceğiz.,İstediğimiz mekana gideceğimiz kesin.,İstediğimiz mekana muhtemelen gitmeyeceğiz.,İstediğimiz mekana gideceğimiz kesin değil.,"İstediğimiz mekana muhtemelen gideceğiz, hatta gideceğimiz kesin.","İstediğimiz mekana muhtemelen gideceğiz, gideceğimiz belki de kesin.",İstediğimiz mekana muhtemelen gideceğiz ama gideceğimiz kesin değil.,"İstediğimiz mekana gideceğimiz kesin değil, hatta muhtemelen gitmeyeceğiz.","İstediğimiz mekana gideceğimiz kesin değil, muhtemelen gitmeyeceğiz bile.",İstediğimiz mekana gideceğimiz kesin değil ama muhtemelen gideceğiz.
muhtemelen-kesin,Bu bilgisayar muhtemelen çalışacak.,Bu bilgisayarın çalışacağı kesin.,Bu bilgisayar muhtemelen çalışmayacak.,Bu bilgisayarın çalışacağı kesin değil.,"Bu bilgisayar muhtemelen çalışacak, hatta çalışacağı kesin.","Bu bilgisayar muhtemelen çalışacak, çalışacağı belki de kesin.",Bu bilgisayar muhtemelen çalışacak ama çalışacağı kesin değil.,"Bu bilgisayarın çalışacağı kesin değil, hatta muhtemelen çalışmayacak.","Bu bilgisayarın çalışacağı kesin değil, muhtemelen çalışmayacak bile.",Bu bilgisayarın çalışacağı kesin değil ama muhtemelen çalışacak.
muhtemelen-kesin,Şirket hedefine muhtemelen ulaşacak.,Şirketin hedefine ulaşacağı kesin.,Şirket hedefine muhtemelen ulaşmayacak.,Şirketin hedefine ulaşacağı kesin değil.,"Şirket hedefine muhtemelen ulaşacak, hatta ulaşacağı kesin.","Şirket hedefine muhtemelen ulaşacak, ulaşacağı belki de kesin.",Şirket hedefine muhtemelen ulaşacak ama ulaşacağı kesin değil.,"Şirketin hedefine ulaşacağı kesin değil, hatta muhtemelen ulaşmayacak.","Şirketin hedefine ulaşacağı kesin değil, muhtemelen ulaşmayacak bile.",Şirketin hedefine ulaşacağı kesin değil ama muhtemelen ulaşacak.
muhtemelen-kesin,Bu köyde muhtemelen muz yetiştirecekler.,Bu köyde muz yetiştirecekleri kesin.,Bu köyde muhtemelen muz yetiştirmeyecekler.,Bu köyde muz yetiştirecekleri kesin değil.,"Bu köyde muhtemelen muz yetiştirecekler, hatta yetiştirecekleri kesin.","Bu köyde muhtemelen muz yetiştirecekler, yetiştirecekleri belki de kesin.",Bu köyde muhtemelen muz yetiştirecekler ama yetiştirecekleri kesin değil.,"Bu köyde muz yetiştirecekleri kesin değil, hatta muhtemelen muz yetiştirmeyecekler.","Bu köyde muz yetiştirecekleri kesin değil, muhtemelen muz yetiştirmeyecekler bile.",Bu köyde muz yetiştirecekleri kesin değil ama muhtemelen muz yetiştirecekler.
muhtemelen-kesin,Çocuklar yemeklerini muhtemelen bitirecekler.,Çocukların yemeklerini bitirecekleri kesin.,Çocuklar yemeklerini muhtemelen bitirmeyecekler.,Çocukların yemeklerini bitirecekleri kesin değil.,"Çocuklar yemeklerini muhtemelen bitirecekler, hatta bitirecekleri kesin.","Çocuklar yemeklerini muhtemelen bitirecekler, bitirecekleri belki de kesin.",Çocuklar yemeklerini muhtemelen bitirecekler ama bitirecekleri kesin değil.,"Çocukların yemeklerini bitirecekleri kesin değil, hatta muhtemelen bitirmeyecekler.","Çocukların yemeklerini bitirecekleri kesin değil, muhtemelen bitirmeyecekler bile.",Çocukların yemeklerini bitirecekleri kesin değil ama muhtemelen bitirecekler.
muhtemelen-kesin,Gemi yolculuğunu muhtemelen kabul edeceğiz.,Gemi yolculuğunu kabul edeceğimiz kesin.,Gemi yolculuğunu muhtemelen kabul etmeyeceğiz.,Gemi yolculuğunu kabul edeceğimiz kesin değil.,"Gemi yolculuğunu muhtemelen kabul edeceğiz, hatta kabul edeceğimiz kesin.","Gemi yolculuğunu muhtemelen kabul edeceğiz, kabul edeceğimiz belki de kesin.",Gemi yolculuğunu muhtemelen kabul edeceğiz ama kabul edeceğimiz kesin değil.,"Gemi yolculuğunu kabul edeceğimiz kesin değil, hatta muhtemelen kabul etmeyeceğiz.","Gemi yolculuğunu kabul edeceğimiz kesin değil, muhtemelen kabul etmeyeceğiz bile.",Gemi yolculuğunu kabul edeceğimiz kesin değil ama muhtemelen kabul edeceğiz.
muhtemelen-kesin,Şapkasının rengini muhtemelen değiştirecek.,Şapkasının rengini değiştireceği kesin.,Şapkasının rengini muhtemelen değiştirmeyecek.,Şapkasının rengini değiştireceği kesin değil.,"Şapkasının rengini muhtemelen değiştirecek, hatta değiştireceği kesin.","Şapkasının rengini muhtemelen değiştirecek, değiştireceği belki de kesin.",Şapkasının rengini muhtemelen değiştirecek ama değiştireceği kesin değil.,"Şapkasının rengini değiştireceği kesin değil, hatta muhtemelen değiştirmeyecek.","Şapkasının rengini değiştireceği kesin değil, muhtemelen değiştirmeyecek bile.",Şapkasının rengini değiştireceği kesin değil ama muhtemelen değiştirecek.
muhtemelen-kesin,Bu yıl muhtemelen tatil yapacaklar.,Bu yıl tatil yapacakları kesin.,Bu yıl muhtemelen tatil yapmayacaklar.,Bu yıl tatil yapacakları kesin değil.,"Bu yıl muhtemelen tatil yapacaklar, hatta tatil yapacakları kesin.","Bu yıl muhtemelen tatil yapacaklar, tatil yapacakları belki de kesin.",Bu yıl muhtemelen tatil yapacaklar ama tatil yapacakları kesin değil.,"Bu yıl tatil yapacakları kesin değil, hatta muhtemelen tatil yapmayacaklar.","Bu yıl tatil yapacakları kesin değil, muhtemelen tatil yapmayacaklar bile.",Bu yıl tatil yapacakları kesin değil ama muhtemelen tatil yapacaklar.
muhtemelen-kesin,Kolyesini muhtemelen çıkaracak.,Kolyesini çıkaracağı kesin.,Kolyesini muhtemelen çıkarmayacak.,Kolyesini çıkaracağı kesin değil.,"Kolyesini muhtemelen çıkaracak, hatta çıkaracağı kesin.","Kolyesini muhtemelen çıkaracak, çıkaracağı belki de kesin.",Kolyesini muhtemelen çıkaracak ama çıkaracağı kesin değil.,"Kolyesini çıkaracağı kesin değil, hatta muhtemelen çıkarmayacak.","Kolyesini çıkaracağı kesin değil, muhtemelen çıkarmayacak bile.",Kolyesini çıkaracağı kesin değil ama muhtemelen çıkaracak.
muhtemelen-kesin,Bunu yaptığına muhtemelen pişman olur.,Bunu yaptığına pişman olacağı kesin.,Bunu yaptığına muhtemelen pişman olmaz.,Bunu yaptığına pişman olacağı kesin değil.,"Bunu yaptığına muhtemelen pişman olur, hatta pişman olacağı kesin.","Bunu yaptığına muhtemelen pişman olur, pişman olacağı belki de kesin.",Bunu yaptığına muhtemelen pişman olur ama pişman olacağı kesin değil.,"Bunu yaptığına pişman olacağı kesin değil, hatta muhtemelen pişman olmaz.","Bunu yaptığına pişman olacağı kesin değil, muhtemelen pişman olmaz bile.",Bunu yaptığına pişman olacağı kesin değil ama muhtemelen pişman olur.
muhtemelen-kesin,Yatağını muhtemelen değiştireceğiz.,Yatağını değiştireceğimiz kesin.,Yatağını muhtemelen değiştirmeyeceğiz.,Yatağını değiştireceğimiz kesin değil.,"Yatağını muhtemelen değiştireceğiz, hatta değiştireceğimiz kesin.","Yatağını muhtemelen değiştireceğiz, değiştireceğimiz belki de kesin.",Yatağını muhtemelen değiştireceğiz ama değiştireceğimiz kesin değil.,"Yatağını değiştireceğimiz kesin değil, hatta muhtemelen değiştirmeyeceğiz.","Yatağını değiştireceğimiz kesin değil, muhtemelen değiştirmeyeceğiz bile.",Yatağını değiştireceğimiz kesin değil ama muhtemelen değiştireceğiz.
muhtemelen-kesin,Telefonunu bu sene muhtemelen yenileyecek.,Telefonunu bu sene yenileyeceği kesin.,Telefonunu bu sene muhtemelen yenilemeyecek.,Telefonunu bu sene yenileyeceği kesin değil.,"Telefonunu bu sene muhtemelen yenileyecek, hatta yenileyeceği kesin.","Telefonunu bu sene muhtemelen yenileyecek, yenileyeceği belki de kesin.",Telefonunu bu sene muhtemelen yenileyecek ama yenileyeceği kesin değil.,"Telefonunu bu sene yenileyeceği kesin değil, hatta muhtemelen yenilemeyecek.","Telefonunu bu sene yenileyeceği kesin değil, muhtemelen yenilemeyecek bile.",Telefonunu bu sene yenileyeceği kesin değil ama muhtemelen yenileyecek.
muhtemelen-kesin,Bu yıl muhtemelen evleneceklerdir.,Bu yıl evlenecekleri kesin.,Bu yıl muhtemelen evlenmeyeceklerdir.,Bu yıl evlenecekleri kesin değil.,"Bu yıl muhtemelen evleneceklerdir, hatta evlenecekleri kesin.","Bu yıl muhtemelen evleneceklerdir, evlenecekleri belki de kesin.",Bu yıl muhtemelen evleneceklerdir ama evlenecekleri kesin değil.,"Bu yıl evlenecekleri kesin değil, hatta muhtemelen evlenmeyeceklerdir.","Bu yıl evlenecekleri kesin değil, muhtemelen evlenmeyeceklerdir bile.",Bu yıl evlenecekleri kesin değil ama muhtemelen evleneceklerdir.
muhtemelen-kesin,Bu yıl muhtemelen terfi edecektir.,Bu yıl terfi edeceği kesin.,Bu yıl muhtemelen terfi etmeyecektir.,Bu yıl terfi edeceği kesin değil.,"Bu yıl muhtemelen terfi edecektir, hatta terfi edeceği kesin.","Bu yıl muhtemelen terfi edecektir, terfi edeceği belki de kesin.",Bu yıl muhtemelen terfi edecektir ama terfi edeceği kesin değil.,"Bu yıl terfi edeceği kesin değil, hatta muhtemelen terfi etmeyecektir.","Bu yıl terfi edeceği kesin değil, muhtemelen terfi etmeyecektir bile.",Bu yıl terfi edeceği kesin değil ama muhtemelen terfi edecektir.
muhtemelen-kesin,Gelecek yıla kadar projeyi muhtemelen bitirecektir.,Gelecek yıla kadar projeyi bitireceği kesin.,Gelecek yıla kadar projeyi muhtemelen bitirmeyecektir.,Gelecek yıla kadar projeyi bitireceği kesin değil.,"Gelecek yıla kadar projeyi muhtemelen bitirecektir, hatta bitireceği kesin.","Gelecek yıla kadar projeyi muhtemelen bitirecektir, bitireceği belki de kesin.",Gelecek yıla kadar projeyi muhtemelen bitirecektir ama bitireceği kesin değil.,"Gelecek yıla kadar projeyi bitireceği kesin değil, hatta muhtemelen bitirmeyecektir.","Gelecek yıla kadar projeyi bitireceği kesin değil, muhtemelen bitirmeyecektir bile.",Gelecek yıla kadar projeyi bitireceği kesin değil ama muhtemelen bitirecektir.
muhtemelen-kesin,Ağaçları muhtemelen sulayacaktır.,Ağaçları sulayacağı kesin.,Ağaçları muhtemelen sulamayacaktır.,Ağaçları sulayacağı kesin değil.,"Ağaçları muhtemelen sulayacaktır, hatta sulayacağı kesin.","Ağaçları muhtemelen sulayacaktır, sulayacağı belki de kesin.",Ağaçları muhtemelen sulayacaktır ama sulayacağı kesin değil.,"Ağaçları sulayacağı kesin değil, hatta muhtemelen sulamayacaktır.","Ağaçları sulayacağı kesin değil, muhtemelen sulamayacaktır bile.",Ağaçları sulayacağı kesin değil ama muhtemelen sulayacaktır.
muhtemelen-kesin,Sonuna kadar muhtemelen duracaktır.,Sonuna kadar duracağı kesin.,Sonuna kadar muhtemelen durmayacaktır.,Sonuna kadar duracağı kesin değil.,"Sonuna kadar muhtemelen duracaktır, hatta duracağı kesin.","Sonuna kadar muhtemelen duracaktır, duracağı belki de kesin.",Sonuna kadar muhtemelen duracaktır ama duracağı kesin değil.,"Sonuna kadar duracağı kesin değil, hatta muhtemelen durmayacaktır.","Sonuna kadar duracağı kesin değil, muhtemelen durmayacaktır bile.",Sonuna kadar duracağı kesin değil ama muhtemelen duracaktır.
muhtemelen-kesin,Elini muhtemelen dezenfekte edeceklerdir.,Elini dezenfekte edecekleri kesin.,Elini muhtemelen dezenfekte etmeyeceklerdir.,Elini dezenfekte edecekleri kesin değil.,"Elini muhtemelen dezenfekte edeceklerdir, hatta dezenfekte edecekleri kesin.","Elini muhtemelen dezenfekte edeceklerdir, dezenfekte edecekleri belki de kesin.",Elini muhtemelen dezenfekte edeceklerdir ama dezenfekte edecekleri kesin değil.,"Elini dezenfekte edecekleri kesin değil, hatta muhtemelen dezenfekte etmeyeceklerdir.","Elini dezenfekte edecekleri kesin değil, muhtemelen dezenfekte etmeyeceklerdir bile.",Elini dezenfekte edecekleri kesin değil ama muhtemelen dezenfekte edeceklerdir.
muhtemelen-kesin,Gözlüğünü muhtemelen temizleyecektir.,Gözlüğünü temizleyeceği kesin.,Gözlüğünü muhtemelen temizlemeyecektir.,Gözlüğünü temizleyeceği kesin değil.,"Gözlüğünü muhtemelen temizleyecektir, hatta temizleyeceği kesin.","Gözlüğünü muhtemelen temizleyecektir, temizleyeceği belki de kesin.",Gözlüğünü muhtemelen temizleyecektir ama temizleyeceği kesin değil.,"Gözlüğünü temizleyeceği kesin değil, hatta muhtemelen temizlemeyecektir.","Gözlüğünü temizleyeceği kesin değil, muhtemelen temizlemeyecektir bile.",Gözlüğünü temizleyeceği kesin değil ama muhtemelen temizleyecektir.
muhtemelen-kesin,Biyoloji dersini muhtemelen geçecektir.,Biyoloji dersini geçeceği kesin.,Biyoloji dersini muhtemelen geçmeyecektir.,Biyoloji dersini geçeceği kesin değil.,"Biyoloji dersini muhtemelen geçecektir, hatta geçeceği kesin.","Biyoloji dersini muhtemelen geçecektir, geçeceği belki de kesin.",Biyoloji dersini muhtemelen geçecektir ama geçeceği kesin değil.,"Biyoloji dersini geçeceği kesin değil, hatta muhtemelen geçmeyecektir.","Biyoloji dersini geçeceği kesin değil, muhtemelen geçmeyecektir bile.",Biyoloji dersini geçeceği kesin değil ama muhtemelen geçecektir.
muhtemelen-kesin,Voleybol maçını muhtemelen kazanacaklardır.,Voleybol maçını kazanacakları kesin.,Voleybol maçını muhtemelen kazanmayacaklardır.,Voleybol maçını kazanacakları kesin değil.,"Voleybol maçını muhtemelen kazanacaklardır, hatta kazanacakları kesin.","Voleybol maçını muhtemelen kazanacaklardır, kazanacakları belki de kesin.",Voleybol maçını muhtemelen kazanacaklardır ama kazanacakları kesin değil.,"Voleybol maçını kazanacakları kesin değil, hatta muhtemelen kazanmayacaklardır.","Voleybol maçını kazanacakları kesin değil, muhtemelen kazanmayacaklardır bile.",Voleybol maçını kazanacakları kesin değil ama muhtemelen kazanacaklardır.
muhtemelen-kesin,Hastaneye muhtemelen gideceksinizdir.,Hastaneye gideceğiniz kesin.,Hastaneye muhtemelen gitmeyeceksinizdir.,Hastaneye gideceğiniz kesin değil.,"Hastaneye muhtemelen gideceksinizdir, hatta gideceğiniz kesin.","Hastaneye muhtemelen gideceksinizdir, gideceğiniz belki de kesin.",Hastaneye muhtemelen gideceksinizdir ama gideceğiniz kesin değil.,"Hastaneye gideceğiniz kesin değil, hatta muhtemelen gitmeyeceksinizdir.","Hastaneye gideceğiniz kesin değil, muhtemelen gitmeyeceksinizdir bile.",Hastaneye gideceğiniz kesin değil ama muhtemelen gideceksinizdir.
muhtemelen-kesin,Kuşları muhtemelen serbest bırakacaklardır.,Kuşları serbest bırakacakları kesin.,Kuşları muhtemelen serbest bırakmayacaklardır.,Kuşları serbest bırakacakları kesin değil.,"Kuşları muhtemelen serbest bırakacaklardır, hatta serbest bırakacakları kesin.","Kuşları muhtemelen serbest bırakacaklardır, serbest bırakacakları belki de kesin.",Kuşları muhtemelen serbest bırakacaklardır ama serbest bırakacakları kesin değil.,"Kuşları serbest bırakacakları kesin değil, hatta muhtemelen serbest bırakmayacaklardır.","Kuşları serbest bırakacakları kesin değil, muhtemelen serbest bırakmayacaklardır bile.",Kuşları serbest bırakacakları kesin değil ama muhtemelen serbest bırakacaklardır.
muhtemelen-kesin,Atların nallarını muhtemelen temizleyeceklerdir.,Atların nallarını temizleyecekleri kesin.,Atların nallarını muhtemelen temizlemeyeceklerdir.,Atların nallarını temizleyecekleri kesin değil.,"Atların nallarını muhtemelen temizleyeceklerdir, hatta temizleyecekleri kesin.","Atların nallarını muhtemelen temizleyeceklerdir, temizleyecekleri belki de kesin.",Atların nallarını muhtemelen temizleyeceklerdir ama temizleyecekleri kesin değil.,"Atların nallarını temizleyecekleri kesin değil, hatta muhtemelen temizlemeyeceklerdir.","Atların nallarını temizleyecekleri kesin değil, muhtemelen temizlemeyeceklerdir bile.",Atların nallarını temizleyecekleri kesin değil ama muhtemelen temizleyeceklerdir.
muhtemelen-kesin,Konya'yı konferansta muhtemelen temsil edecektir.,Konya'yı konferansta temsil edeceği kesin.,Konya'yı konferansta muhtemelen temsil etmeyecektir.,Konya'yı konferansta temsil edeceği kesin değil.,"Konya'yı konferansta muhtemelen temsil edecektir, hatta temsil edeceği kesin.","Konya'yı konferansta muhtemelen temsil edecektir, temsil edeceği belki de kesin.",Konya'yı konferansta muhtemelen temsil edecektir ama temsil edeceği kesin değil.,"Konya'yı konferansta temsil edeceği kesin değil, hatta muhtemelen temsil etmeyecektir.","Konya'yı konferansta temsil edeceği kesin değil, muhtemelen temsil etmeyecektir bile.",Konya'yı konferansta temsil edeceği kesin değil ama muhtemelen temsil edecektir.
muhtemelen-kesin,Arabasının lastiğini muhtemelen değiştirecektir.,Arabasının lastiğini değiştireceği kesin.,Arabasının lastiğini muhtemelen değiştirmeyecektir.,Arabasının lastiğini değiştireceği kesin değil.,"Arabasının lastiğini muhtemelen değiştirecektir, hatta değiştireceği kesin.","Arabasının lastiğini muhtemelen değiştirecektir, değiştireceği belki de kesin.",Arabasının lastiğini muhtemelen değiştirecektir ama değiştireceği kesin değil.,"Arabasının lastiğini değiştireceği kesin değil, hatta muhtemelen değiştirmeyecektir.","Arabasının lastiğini değiştireceği kesin değil, muhtemelen değiştirmeyecektir bile.",Arabasının lastiğini değiştireceği kesin değil ama muhtemelen değiştirecektir.
muhtemelen-kesin,Kırdığı heykelin parasını muhtemelen ödeyecektir.,Kırdığı heykelin parasını ödeyeceği kesin.,Kırdığı heykelin parasını muhtemelen ödemeyecektir.,Kırdığı heykelin parasını ödeyeceği kesin değil.,"Kırdığı heykelin parasını muhtemelen ödeyecektir, hatta ödeyeceği kesin.","Kırdığı heykelin parasını muhtemelen ödeyecektir, ödeyeceği belki de kesin.",Kırdığı heykelin parasını muhtemelen ödeyecektir ama ödeyeceği kesin değil.,"Kırdığı heykelin parasını ödeyeceği kesin değil, hatta muhtemelen ödemeyecektir.","Kırdığı heykelin parasını ödeyeceği kesin değil, muhtemelen ödemeyecektir bile.",Kırdığı heykelin parasını ödeyeceği kesin değil ama muhtemelen ödeyecektir.
