scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
iki-üç,Mutfakta iki tabak var.,Mutfakta üç tabak var.,Mutfakta iki tabak yok.,Mutfakta üç tabak yok.,Mutfakta ikiden fazla tabak yok.,"Mutfakta iki tabak var, hatta üç tabak var.","Mutfakta iki tabak var, belki de üç tabak var.",Mutfakta iki tabak var ama üç tabak yok.,"Mutfakta üç tabak yok, hatta iki tabak bile yok.","Mutfakta üç tabak yok, belki iki tabak bile yok.",Mutfakta üç tabak yok ama iki tabak var.,Mutfakta ikiden az tabak var.,Mutfakta en fazla bir tabak var.,Mutfakta en az bir tane tabak var.
iki-üç,Geçen yılki toplantıda iki konuşmacı vardı.,Geçen yılki toplantıda üç konuşmacı vardı.,Geçen yılki toplantıda iki konuşmacı yoktu.,Geçen yılki toplantıda üç konuşmacı yoktu.,Geçen yılki toplantıda ikiden fazla konuşmacı yoktu.,"Geçen yılki toplantıda iki konuşmacı vardı, hatta üç konuşmacı vardı.","Geçen yılki toplantıda iki konuşmacı vardı, belki de üç konuşmacı vardı.",Geçen yılki toplantıda iki konuşmacı vardı ama üç konuşmacı yoktu.,"Geçen yılki toplantıda üç konuşmacı yoktu, hatta iki konuşmacı bile yoktu.","Geçen yılki toplantıda üç konuşmacı yoktu, belki iki konuşmacı bile yoktu.",Geçen yılki toplantıda üç konuşmacı yoktu ama iki konuşmacı vardı.,Geçen yılki toplantıda ikiden az konuşmacı vardı.,Geçen yılki toplantıda en fazla bir konuşmacı vardı.,Geçen yılki toplantıda en az bir tane konuşmacı vardı.
iki-üç,Köyde iki ev var.,Köyde üç ev var.,Köyde iki ev yok.,Köyde üç ev yok.,Köyde ikiden fazla ev yok.,"Köyde iki ev var, hatta üç ev var.","Köyde iki ev var, belki de üç ev var.",Köyde iki ev var ama üç ev yok.,"Köyde üç ev yok, hatta iki ev bile yok.","Köyde üç ev yok, belki iki ev bile yok.",Köyde üç ev yok ama iki ev var.,Köyde ikiden az ev var.,Köyde en fazla bir ev var.,Köyde en az bir tane ev var.
iki-üç,Sokakta iki araba var.,Sokakta üç araba var.,Sokakta iki araba yok.,Sokakta üç araba yok.,Sokakta ikiden fazla araba yok.,"Sokakta iki araba var, hatta üç araba var.","Sokakta iki araba var, belki de üç araba var.",Sokakta iki araba var ama üç araba yok.,"Sokakta üç araba yok, hatta iki araba bile yok.","Sokakta üç araba yok, belki iki araba bile yok.",Sokakta üç araba yok ama iki araba var.,Sokakta ikiden az araba var.,Sokakta en fazla bir araba var.,Sokakta en az bir tane araba var.
iki-üç,Bölümde iki hemşire var.,Bölümde üç hemşire var.,Bölümde iki hemşire yok.,Bölümde üç hemşire yok.,Bölümde ikiden fazla hemşire yok.,"Bölümde iki hemşire var, hatta üç hemşire var.","Bölümde iki hemşire var, belki de üç hemşire var.",Bölümde iki hemşire var ama üç hemşire yok.,"Bölümde üç hemşire yok, hatta iki hemşire bile yok.","Bölümde üç hemşire yok, belki iki hemşire bile yok.",Bölümde üç hemşire yok ama iki hemşire var.,Bölümde ikiden az hemşire var.,Bölümde en fazla bir hemşire var.,Bölümde en az bir tane hemşire var.
iki-üç,Kolonlarda iki hasarlı bölge var.,Kolonlarda üç hasarlı bölge var.,Kolonlarda iki hasarlı bölge yok.,Kolonlarda üç hasarlı bölge yok.,Kolonlarda ikiden fazla hasarlı bölge yok.,"Kolonlarda iki hasarlı bölge var, hatta üç hasarlı bölge var.","Kolonlarda iki hasarlı bölge var, belki de üç hasarlı bölge var.",Kolonlarda iki hasarlı bölge var ama üç hasarlı bölge yok.,"Kolonlarda üç hasarlı bölge yok, hatta iki hasarlı bölge bile yok.","Kolonlarda üç hasarlı bölge yok, belki iki hasarlı bölge bile yok.",Kolonlarda üç hasarlı bölge yok ama iki hasarlı bölge var.,Kolonlarda ikiden az hasarlı bölge var.,Kolonlarda en fazla bir hasarlı bölge var.,Kolonlarda en az bir tane hasarlı bölge var.
iki-üç,Otoparkta iki kırmızı araç var.,Otoparkta üç kırmızı araç var.,Otoparkta iki kırmızı araç yok.,Otoparkta üç kırmızı araç yok.,Otoparkta ikiden fazla kırmızı araç yok.,"Otoparkta iki kırmızı araç var, hatta üç kırmızı araç var.","Otoparkta iki kırmızı araç var, belki de üç kırmızı araç var.",Otoparkta iki kırmızı araç var ama üç kırmızı araç yok.,"Otoparkta üç kırmızı araç yok, hatta iki kırmızı araç bile yok.","Otoparkta üç kırmızı araç yok, belki iki kırmızı araç bile yok.",Otoparkta üç kırmızı araç yok ama iki kırmızı araç var.,Otoparkta ikiden az kırmızı araç var.,Otoparkta en fazla bir kırmızı araç var.,Otoparkta en az bir tane kırmızı araç var.
iki-üç,Yatak odasında iki komidin var.,Yatak odasında üç komidin var.,Yatak odasında iki komidin yok.,Yatak odasında üç komidin yok.,Yatak odasında ikiden fazla komidin yok.,"Yatak odasında iki komidin var, hatta üç komidin var.","Yatak odasında iki komidin var, belki de üç komidin var.",Yatak odasında iki komidin var ama üç komidin yok.,"Yatak odasında üç komidin yok, hatta iki komidin bile yok.","Yatak odasında üç komidin yok, belki iki komidin bile yok.",Yatak odasında üç komidin yok ama iki komidin var.,Yatak odasında ikiden az komidin var.,Yatak odasında en fazla bir komidin var.,Yatak odasında en az bir tane komidin var.
iki-üç,Halı sahada iki top var.,Halı sahada üç top var.,Halı sahada iki top yok.,Halı sahada üç top yok.,Halı sahada ikiden fazla top yok.,"Halı sahada iki top var, hatta üç top var.","Halı sahada iki top var, belki de üç top var.",Halı sahada iki top var ama üç top yok.,"Halı sahada üç top yok, hatta iki top bile yok.","Halı sahada üç top yok, belki iki top bile yok.",Halı sahada üç top yok ama iki top var.,Halı sahada ikiden az top var.,Halı sahada en fazla bir top var.,Halı sahada en az bir tane top var.
iki-üç,Köprüde iki araç var.,Köprüde üç araç var.,Köprüde iki araç yok.,Köprüde üç araç yok.,Köprüde ikiden fazla araç yok.,"Köprüde iki araç var, hatta üç araç var.","Köprüde iki araç var, belki de üç araç var.",Köprüde iki araç var ama üç araç yok.,"Köprüde üç araç yok, hatta iki araç bile yok.","Köprüde üç araç yok, belki iki araç bile yok.",Köprüde üç araç yok ama iki araç var.,Köprüde ikiden az araç var.,Köprüde en fazla bir araç var.,Köprüde en az bir tane araç var.
iki-üç,Köşede iki kedi var.,Köşede üç kedi var.,Köşede iki kedi yok.,Köşede üç kedi yok.,Köşede ikiden fazla kedi yok.,"Köşede iki kedi var, hatta üç kedi var.","Köşede iki kedi var, belki de üç kedi var.",Köşede iki kedi var ama üç kedi yok.,"Köşede üç kedi yok, hatta iki kedi bile yok.","Köşede üç kedi yok, belki iki kedi bile yok.",Köşede üç kedi yok ama iki kedi var.,Köşede ikiden az kedi var.,Köşede en fazla bir kedi var.,Köşede en az bir tane kedi var.
iki-üç,Barınakta iki köpek var.,Barınakta üç köpek var.,Barınakta iki köpek yok.,Barınakta üç köpek yok.,Barınakta ikiden fazla köpek yok.,"Barınakta iki köpek var, hatta üç köpek var.","Barınakta iki köpek var, belki de üç köpek var.",Barınakta iki köpek var ama üç köpek yok.,"Barınakta üç köpek yok, hatta iki köpek bile yok.","Barınakta üç köpek yok, belki iki köpek bile yok.",Barınakta üç köpek yok ama iki köpek var.,Barınakta ikiden az köpek var.,Barınakta en fazla bir köpek var.,Barınakta en az bir tane köpek var.
iki-üç,Köyde iki inek var.,Köyde üç inek var.,Köyde iki inek yok.,Köyde üç inek yok.,Köyde ikiden fazla inek yok.,"Köyde iki inek var, hatta üç inek var.","Köyde iki inek var, belki de üç inek var.",Köyde iki inek var ama üç inek yok.,"Köyde üç inek yok, hatta iki inek bile yok.","Köyde üç inek yok, belki iki inek bile yok.",Köyde üç inek yok ama iki inek var.,Köyde ikiden az inek var.,Köyde en fazla bir inek var.,Köyde en az bir tane inek var.
iki-üç,Çiftlikte iki at varmış.,Çiftlikte üç at varmış.,Çiftlikte iki at yokmuş.,Çiftlikte üç at yokmuş.,Çiftlikte ikiden fazla at yokmuş.,"Çiftlikte iki at varmış, hatta üç at varmış.","Çiftlikte iki at varmış, belki de üç at varmış.",Çiftlikte iki at varmış ama üç at yokmuş.,"Çiftlikte üç at yokmuş, hatta iki at bile yokmuş.","Çiftlikte üç at yokmuş, belki iki at bile yokmuş.",Çiftlikte üç at yokmuş ama iki at varmış.,Çiftlikte ikiden az at varmış.,Çiftlikte en fazla bir at varmış.,Çiftlikte en az bir tane at varmış.
iki-üç,Evimizin iki tapusu varmış.,Evimizin üç tapusu varmış.,Evimizin iki tapusu yokmuş.,Evimizin üç tapusu yokmuş.,Evimizin ikiden fazla tapusu yokmuş.,"Evimizin iki tapusu varmış, hatta üç tapusu varmış.","Evimizin iki tapusu varmış, belki de üç tapusu varmış.",Evimizin iki tapusu varmış ama üç tapusu yokmuş.,"Evimizin üç tapusu yokmuş, hatta iki tapusu bile yokmuş.","Evimizin üç tapusu yokmuş, belki iki tapusu bile yokmuş.",Evimizin üç tapusu yokmuş ama iki tapusu varmış.,Evimizin ikiden az tapusu varmış.,Evimizin en fazla bir tapusu varmış.,Evimizin en az bir tane tapusu varmış.
iki-üç,Cebimde iki liram var.,Cebimde üç liram var.,Cebimde iki lira yok.,Cebimde üç lira yok.,Cebimde ikiden fazla lira yok.,"Cebimde iki liram var, hatta üç liram var.","Cebimde iki liram var, belki de üç liram var.",Cebimde iki liram var ama üç lira yok.,"Cebimde üç lira yok, hatta iki lira bile yok.","Cebimde üç lira yok, belki iki lira bile yok.",Cebimde üç lira yok ama iki liram var.,Cebimde ikiden az liram var.,Cebimde en fazla bir liram var.,Cebimde en az bir tane liram var.
iki-üç,Kalorifer sisteminde iki radyatör var.,Kalorifer sisteminde üç radyatör var.,Kalorifer sisteminde iki radyatör yok.,Kalorifer sisteminde üç radyatör yok.,Kalorifer sisteminde ikiden fazla radyatör yok.,"Kalorifer sisteminde iki radyatör var, hatta üç radyatör var.","Kalorifer sisteminde iki radyatör var, belki de üç radyatör var.",Kalorifer sisteminde iki radyatör var ama üç radyatör yok.,"Kalorifer sisteminde üç radyatör yok, hatta iki radyatör bile yok.","Kalorifer sisteminde üç radyatör yok, belki iki radyatör bile yok.",Kalorifer sisteminde üç radyatör yok ama iki radyatör var.,Kalorifer sisteminde ikiden az radyatör var.,Kalorifer sisteminde en fazla bir radyatör var.,Kalorifer sisteminde en az bir tane radyatör var.
iki-üç,Çeşmelerin ikişer oluğu var.,Çeşmelerin üçer oluğu var.,Çeşmelerin ikişer oluğu yok.,Çeşmelerin üçer oluğu yok.,Çeşmelerin ikiden fazla oluğu yok.,"Çeşmelerin ikişer oluğu var, hatta üçer oluğu var.","Çeşmelerin ikişer oluğu var, belki de üçer oluğu var.",Çeşmelerin ikişer oluğu var ama üçer oluğu yok.,"Çeşmelerin üçer oluğu yok, hatta ikişer oluğu bile yok.","Çeşmelerin üçer oluğu yok, belki ikişer oluğu bile yok.",Çeşmelerin üçer oluğu yok ama ikişer oluğu var.,Çeşmelerin ikiden az oluğu var.,Çeşmelerin en fazla bir oluğu var.,Çeşmelerin en az bir tane oluğu var.
iki-üç,Saatimin iki kordonu var.,Saatimin üç kordonu var.,Saatimin iki kordonu yok.,Saatimin üç kordonu yok.,Saatimin ikiden fazla kordonu yok.,"Saatimin iki kordonu var, hatta üç kordonu var.","Saatimin iki kordonu var, belki de üç kordonu var.",Saatimin iki kordonu var ama üç kordonu yok.,"Saatimin üç kordonu yok, hatta iki kordonu bile yok.","Saatimin üç kordonu yok, belki iki kordonu bile yok.",Saatimin üç kordonu yok ama iki kordonu var.,Saatimin ikiden az kordonu var.,Saatimin en fazla bir kordonu var.,Saatimin en az bir tane kordonu var.
iki-üç,Arabamın iki kontağı var.,Arabamın üç kontağı var.,Arabamın iki kontağı yok.,Arabamın üç kontağı yok.,Arabamın ikiden fazla kontağı yok.,"Arabamın iki kontağı var, hatta üç kontağı var.","Arabamın iki kontağı var, belki de üç kontağı var.",Arabamın iki kontağı var ama üç kontağı yok.,"Arabamın üç kontağı yok, hatta iki kontağı bile yok.","Arabamın üç kontağı yok, belki iki kontağı bile yok.",Arabamın üç kontağı yok ama iki kontağı var.,Arabamın ikiden az kontağı var.,Arabamın en fazla bir kontağı var.,Arabamın en az bir tane kontağı var.
iki-üç,Kütüphanede iki kitap okumuş.,Kütüphanede üç kitap okumuş.,Kütüphanede iki kitap okumamış.,Kütüphanede üç kitap okumamış.,Kütüphanede ikiden fazla kitap okumamış.,"Kütüphanede iki kitap okumuş, hatta üç kitap okumuş.","Kütüphanede iki kitap okumuş, belki de üç kitap okumuş.",Kütüphanede iki kitap okumuş ama üç kitap okumamış.,"Kütüphanede üç kitap okumamış, hatta iki kitap bile okumamış.","Kütüphanede üç kitap okumamış, belki iki kitap bile okumamış.",Kütüphanede üç kitap okumamış ama iki kitap okumuş.,Kütüphanede ikiden az kitap okumuş.,Kütüphanede en fazla bir kitap okumuş.,Kütüphanede en az bir tane kitap okumuş.
iki-üç,Albümden iki şarkı dinlemiş.,Albümden üç şarkı dinlemiş.,Albümden iki şarkı dinlememiş.,Albümden üç şarkı dinlememiş.,Albümden ikiden fazla şarkı dinlememiş.,"Albümden iki şarkı dinlemiş, hatta üç şarkı dinlemiş.","Albümden iki şarkı dinlemiş, belki de üç şarkı dinlemiş.",Albümden iki şarkı dinlemiş ama üç şarkı dinlememiş.,"Albümden üç şarkı dinlememiş, hatta iki şarkı bile dinlememiş.","Albümden üç şarkı dinlememiş, belki iki şarkı bile dinlememiş.",Albümden üç şarkı dinlememiş ama iki şarkı dinlemiş.,Albümden ikiden az şarkı dinlemiş.,Albümden en fazla bir şarkı dinlemiş.,Albümden en az bir tane şarkı dinlemiş.
iki-üç,İki adam evimize kadar gelmiş.,Üç adam evimize kadar gelmiş.,İki adam evimize kadar gelmemiş.,Üç adam evimize kadar gelmemiş.,İkiden fazla adam evimize kadar gelmemiş.,"İki adam evimize kadar gelmiş, hatta üç adam evimize kadar gelmiş.","İki adam evimize kadar gelmiş, belki de üç adam evimize kadar gelmiş.",İki adam evimize kadar gelmiş ama üç adam evimize kadar gelmemiş.,"Üç adam evimize kadar gelmemiş, hatta iki adam evimize kadar gelmemiş.","Üç adam evimize kadar gelmemiş, belki iki adam evimize kadar gelmemiş.",Üç adam evimize kadar gelmemiş ama iki adam evimize kadar gelmiş.,İkiden az adam evimize kadar gelmiş.,En fazla bir adam evimize kadar gelmiş.,En az bir tane adam evimize kadar gelmiş.
iki-üç,Takımdan iki oyuncu sakat.,Takımdan üç oyuncu sakat.,Takımdan iki oyuncu sakat değil.,Takımdan üç oyuncu sakat değil.,Takımdan ikiden fazla oyuncu sakat değil.,"Takımdan iki oyuncu sakat, hatta üç oyuncu sakat.","Takımdan iki oyuncu sakat, belki de üç oyuncu sakat.",Takımdan iki oyuncu sakat ama üç oyuncu sakat değil.,"Takımdan üç oyuncu sakat değil, hatta iki oyuncu sakat bile değil.","Takımdan üç oyuncu sakat değil, belki iki oyuncu sakat bile değil.",Takımdan üç oyuncu sakat değil ama iki oyuncu sakat.,Takımdan ikiden az oyuncu sakat.,Takımdan en fazla bir oyuncu sakat.,Takımdan en az bir tane oyuncu sakat.
iki-üç,Benzinlikte iki pompa vardı.,Benzinlikte üç pompa vardı.,Benzinlikte iki pompa yoktu.,Benzinlikte üç pompa yoktu.,Benzinlikte ikiden fazla pompa yoktu.,"Benzinlikte iki pompa vardı, hatta üç pompa vardı.","Benzinlikte iki pompa vardı, belki de üç pompa vardı.",Benzinlikte iki pompa vardı ama üç pompa yoktu.,"Benzinlikte üç pompa yoktu, hatta iki pompa bile yoktu.","Benzinlikte üç pompa yoktu, belki iki pompa bile yoktu.",Benzinlikte üç pompa yoktu ama iki pompa vardı.,Benzinlikte ikiden az pompa vardı.,Benzinlikte en fazla bir pompa vardı.,Benzinlikte en az bir tane pompa vardı.
iki-üç,Köyde iki kilise vardı.,Köyde üç kilise vardı.,Köyde iki kilise yoktu.,Köyde üç kilise yoktu.,Köyde ikiden fazla kilise yoktu.,"Köyde iki kilise vardı, hatta üç kilise vardı.","Köyde iki kilise vardı, belki de üç kilise vardı.",Köyde iki kilise vardı ama üç kilise yoktu.,"Köyde üç kilise yoktu, hatta iki kilise bile yoktu.","Köyde üç kilise yoktu, belki iki kilise bile yoktu.",Köyde üç kilise yoktu ama iki kilise vardı.,Köyde ikiden az kilise vardı.,Köyde en fazla bir kilise vardı.,Köyde en az bir tane kilise vardı.
iki-üç,Sahilde iki kulübe yıkılmış.,Sahilde üç kulübe yıkılmış.,Sahilde iki kulübe yıkılmamış.,Sahilde üç kulübe yıkılmamış.,Sahilde ikiden fazla kulübe yıkılmamış.,"Sahilde iki kulübe yıkılmış, hatta üç kulübe yıkılmış.","Sahilde iki kulübe yıkılmış, belki de üç kulübe yıkılmış.",Sahilde iki kulübe yıkılmış ama üç kulübe yıkılmamış.,"Sahilde üç kulübe yıkılmamış, hatta iki kulübe bile yıkılmamış.","Sahilde üç kulübe yıkılmamış, belki iki kulübe bile yıkılmamış.",Sahilde üç kulübe yıkılmamış ama iki kulübe yıkılmış.,Sahilde ikiden az kulübe yıkılmış.,Sahilde en fazla bir kulübe yıkılmış.,Sahilde en az bir tane kulübe yıkılmış.
iki-üç,Padişahın iki kızı varmış.,Padişahın üç kızı varmış.,Padişahın iki kızı yokmuş.,Padişahın üç kızı yokmuş.,Padişahın ikiden fazla kızı yokmuş.,"Padişahın iki kızı varmış, hatta üç kızı varmış.","Padişahın iki kızı varmış, belki de üç kızı varmış.",Padişahın iki kızı varmış ama üç kızı yokmuş.,"Padişahın üç kızı yokmuş, hatta iki kızı bile yokmuş.","Padişahın üç kızı yokmuş, belki iki kızı bile yokmuş.",Padişahın üç kızı yokmuş ama iki kızı varmış.,Padişahın ikiden az kızı varmış.,Padişahın en fazla bir kızı varmış.,Padişahın en az bir tane kızı varmış.
iki-üç,Planımızın iki ayağı var.,Planımızın üç ayağı var.,Planımızın iki ayağı yok.,Planımızın üç ayağı yok.,Planımızın ikiden fazla ayağı yok.,"Planımızın iki ayağı var, hatta üç ayağı var.","Planımızın iki ayağı var, belki de üç ayağı var.",Planımızın iki ayağı var ama üç ayağı yok.,"Planımızın üç ayağı yok, hatta iki ayağı bile yok.","Planımızın üç ayağı yok, belki iki ayağı bile yok.",Planımızın üç ayağı yok ama iki ayağı var.,Planımızın ikiden az ayağı var.,Planımızın en fazla bir ayağı var.,Planımızın en az bir tane ayağı var.
iki-üç,Şarkının iki versiyonu var.,Şarkının üç versiyonu var.,Şarkının iki versiyonu yok.,Şarkının üç versiyonu yok.,Şarkının ikiden fazla versiyonu yok.,"Şarkının iki versiyonu var, hatta üç versiyonu var.","Şarkının iki versiyonu var, belki de üç versiyonu var.",Şarkının iki versiyonu var ama üç versiyonu yok.,"Şarkının üç versiyonu yok, hatta iki versiyonu bile yok.","Şarkının üç versiyonu yok, belki iki versiyonu bile yok.",Şarkının üç versiyonu yok ama iki versiyonu var.,Şarkının ikiden az versiyonu var.,Şarkının en fazla bir versiyonu var.,Şarkının en az bir tane versiyonu var.
iki-üç,Sanatçının oynadığı iki film var.,Sanatçının oynadığı üç film var.,Sanatçının oynadığı iki film yok.,Sanatçının oynadığı üç film yok.,Sanatçının oynadığı ikiden fazla film yok.,"Sanatçının oynadığı iki film var, hatta üç film var.","Sanatçının oynadığı iki film var, belki de üç film var.",Sanatçının oynadığı iki film var ama üç film yok.,"Sanatçının oynadığı üç film yok, hatta iki film bile yok.","Sanatçının oynadığı üç film yok, belki iki film bile yok.",Sanatçının oynadığı üç film yok ama iki film var.,Sanatçının oynadığı ikiden az film var.,Sanatçının oynadığı en fazla bir film var.,Sanatçının oynadığı en az bir tane film var.
iki-üç,Kahvaltıda iki ekmek var.,Kahvaltıda üç ekmek var.,Kahvaltıda iki ekmek yok.,Kahvaltıda üç ekmek yok.,Kahvaltıda ikiden fazla ekmek yok.,"Kahvaltıda iki ekmek var, hatta üç ekmek var.","Kahvaltıda iki ekmek var, belki de üç ekmek var.",Kahvaltıda iki ekmek var ama üç ekmek yok.,"Kahvaltıda üç ekmek yok, hatta iki ekmek bile yok.","Kahvaltıda üç ekmek yok, belki iki ekmek bile yok.",Kahvaltıda üç ekmek yok ama iki ekmek var.,Kahvaltıda ikiden az ekmek var.,Kahvaltıda en fazla bir ekmek var.,Kahvaltıda en az bir tane ekmek var.
iki-üç,İki şehir gezmek istiyoruz.,Üç şehir gezmek istiyoruz.,İki şehir gezmek istemiyoruz.,Üç şehir gezmek istemiyoruz.,İkiden fazla şehir gezmek istemiyoruz.,"İki şehir gezmek istiyoruz, hatta üç şehir gezmek istiyoruz.","İki şehir gezmek istiyoruz, belki de üç şehir gezmek istiyoruz.",İki şehir gezmek istiyoruz ama üç şehir gezmek istemiyoruz.,"Üç şehir gezmek istemiyoruz, hatta iki şehir gezmek istemiyoruz.","Üç şehir gezmek istemiyoruz, belki iki şehir gezmek istemiyoruz.",Üç şehir gezmek istemiyoruz ama iki şehir gezmek istiyoruz.,İkiden az şehir gezmek istiyoruz.,En fazla bir şehir gezmek istiyoruz.,En az bir tane şehir gezmek istiyoruz.
iki-üç,Şehirlerin iki ortak noktası varmış.,Şehirlerin üç ortak noktası varmış.,Şehirlerin iki ortak noktası yokmuş.,Şehirlerin üç ortak noktası yokmuş.,Şehirlerin ikiden fazla ortak noktası yokmuş.,"Şehirlerin iki ortak noktası varmış, hatta üç ortak noktası varmış.","Şehirlerin iki ortak noktası varmış, belki de üç ortak noktası varmış.",Şehirlerin iki ortak noktası varmış ama üç ortak noktası yokmuş.,"Şehirlerin üç ortak noktası yokmuş, hatta iki ortak noktası bile yokmuş.","Şehirlerin üç ortak noktası yokmuş, belki iki ortak noktası bile yokmuş.",Şehirlerin üç ortak noktası yokmuş ama iki ortak noktası varmış.,Şehirlerin ikiden az ortak noktası varmış.,Şehirlerin en fazla bir ortak noktası varmış.,Şehirlerin en az bir tane ortak noktası varmış.
