scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
beş-yedi,Fikirlerinden beş tanesi mantıklı.,Fikirlerinden yedi tanesi mantıklı.,Fikirlerinden beşi mantıklı değil.,Fikirlerinden yedisi mantıklı değil.,Fikirlerinden beşten fazlası mantıklı değil.,"Fikirlerinden beş tanesi mantıklı, hatta yedi tanesi mantıklı.","Fikirlerinden beş tanesi mantıklı, belki de yedi tanesi mantıklı.",Fikirlerinden beş tanesi mantıklı ama yedisi mantıklı değil.,"Fikirlerinden yedisi mantıklı değil, hatta beşi mantıklı değil.","Fikirlerinden yedisi mantıklı değil, belki beşi mantıklı değil.",Fikirlerinden yedisi mantıklı değil ama beş tanesi mantıklı.,Fikirlerinden beşten azı mantıklı.,Fikirlerinden en fazla dördü mantıklı.,Fikirlerinden en az biri mantıklı.
beş-yedi,Televizyonlarınızdan beş tanesi bozuk çıktı.,Televizyonlarınızdan yedi tanesi bozuk çıktı.,Televizyonlarınızdan beşi bozuk çıkmadı.,Televizyonlarınızdan yedisi bozuk çıkmadı.,Televizyonlarınızdan beşten fazlası bozuk çıkmadı.,"Televizyonlarınızdan beş tanesi bozuk çıktı, hatta yedi tanesi bozuk çıktı.","Televizyonlarınızdan beş tanesi bozuk çıktı, belki de yedi tanesi bozuk çıktı.",Televizyonlarınızdan beş tanesi bozuk çıktı ama yedisi bozuk çıkmadı.,"Televizyonlarınızdan yedisi bozuk çıkmadı, hatta beşi bozuk çıkmadı.","Televizyonlarınızdan yedisi bozuk çıkmadı, belki beşi bozuk çıkmadı.",Televizyonlarınızdan yedisi bozuk çıkmadı ama beş tanesi bozuk çıktı.,Televizyonlarınızdan beşten azı bozuk çıktı.,Televizyonlarınızdan en fazla dördü bozuk çıktı.,Televizyonlarınızdan en az biri bozuk çıktı.
beş-yedi,Kumandanın beş tuşu çalışıyor.,Kumandanın yedi tuşu çalışıyor.,Kumandanın beş tuşu çalışmıyor.,Kumandanın yedi tuşu çalışmıyor.,Kumandanın beş tuşundan fazlası çalışmıyor.,"Kumandanın beş tuşu çalışıyor, hatta yedi tuşu çalışıyor.","Kumandanın beş tuşu çalışıyor, belki de yedi tuşu çalışıyor.",Kumandanın beş tuşu çalışıyor ama yedi tuşu çalışmıyor.,"Kumandanın yedi tuşu çalışmıyor, hatta beş tuşu çalışmıyor.","Kumandanın yedi tuşu çalışmıyor, belki beş tuşu çalışmıyor.",Kumandanın yedi tuşu çalışmıyor ama beş tuşu çalışıyor.,Kumandanın beş tuşundan azı çalışıyor.,Kumandanın en fazla dört tuşu çalışıyor.,Kumandanın en az bir tuşu çalışıyor.
beş-yedi,Ağaçların beşini ben diktim.,Ağaçların yedisini ben diktim.,Ağaçların beşini ben dikmedim.,Ağaçların yedisini ben dikmedim.,Ağaçların beşinden fazlasını ben dikmedim.,"Ağaçların beşini ben diktim, hatta yedisini ben diktim.","Ağaçların beşini ben diktim, belki de yedisini ben diktim.",Ağaçların beşini ben diktim ama yedisini ben dikmedim.,"Ağaçların yedisini ben dikmedim, hatta beşini ben dikmedim.","Ağaçların yedisini ben dikmedim, belki beşini ben dikmedim.",Ağaçların yedisini ben dikmedim ama beşini ben diktim.,Ağaçların beşinden azını ben diktim.,Ağaçların en fazla dördünü ben diktim.,Ağaçların en az birini ben diktim.
beş-yedi,Spor salonundan beş kişi gelmiş.,Spor salonundan yedi kişi gelmiş.,Spor salonundan beş kişi gelmemiş.,Spor salonundan yedi kişi gelmemiş.,Spor salonundan beşten fazla kişi gelmemiş.,"Spor salonundan beş kişi gelmiş, hatta yedi kişi gelmiş.","Spor salonundan beş kişi gelmiş, belki de yedi kişi gelmiş.",Spor salonundan beş kişi gelmiş ama yedi kişi gelmemiş.,"Spor salonundan yedi kişi gelmemiş, hatta beş kişi bile gelmemiş.","Spor salonundan yedi kişi gelmemiş, belki beş kişi bile gelmemiş.",Spor salonundan yedi kişi gelmemiş ama beş kişi gelmiş.,Spor salonundan beşten az kişi gelmiş.,Spor salonundan en fazla dört kişi gelmiş.,Spor salonundan en az bir tane kişi gelmiş.
beş-yedi,Eski kurulun beş üyesini öldürmüşler.,Eski kurulun yedi üyesini öldürmüşler.,Eski kurulun beş üyesini öldürmemişler.,Eski kurulun yedi üyesini öldürmemişler.,Eski kurulun beşten fazla üyesini öldürmemişler.,"Eski kurulun beş üyesini öldürmüşler, hatta yedi üyesini öldürmüşler.","Eski kurulun beş üyesini öldürmüşler, belki de yedi üyesini öldürmüşler.",Eski kurulun beş üyesini öldürmüşler ama yedi üyesini öldürmemişler.,"Eski kurulun yedi üyesini öldürmemişler, hatta beş üyesini bile öldürmemişler.","Eski kurulun yedi üyesini öldürmemişler, belki beş üyesini bile öldürmemişler.",Eski kurulun yedi üyesini öldürmemişler ama beş üyesini öldürmüşler.,Eski kurulun beşten az üyesini öldürmüşler.,Eski kurulun en fazla dört üyesini öldürmüşler.,Eski kurulun en az bir tane üyesini öldürmüşler.
beş-yedi,Otobüsteki yolculardan beşi uyuyordu.,Otobüsteki yolculardan yedisi uyuyordu.,Otobüsteki yolculardan beşi uyumuyordu.,Otobüsteki yolculardan yedisi uyumuyordu.,Otobüsteki yolculardan beşten fazlası uyumuyordu.,"Otobüsteki yolculardan beşi uyuyordu, hatta yedisi uyuyordu.","Otobüsteki yolculardan beşi uyuyordu, belki de yedisi uyuyordu.",Otobüsteki yolculardan beşi uyuyordu ama yedisi uyumuyordu.,"Otobüsteki yolculardan yedisi uyumuyordu, hatta beşi bile uyumuyordu.","Otobüsteki yolculardan yedisi uyumuyordu, belki beşi bile uyumuyordu.",Otobüsteki yolculardan yedisi uyumuyordu ama beşi uyuyordu.,Otobüsteki yolculardan beşten azı uyuyordu.,Otobüsteki yolculardan en fazla dördü uyuyordu.,Otobüsteki yolculardan en az biri uyuyordu.
beş-yedi,Tarladaki ağaçların beşi kül olmuş.,Tarladaki ağaçların yedisi kül olmuş.,Tarladaki ağaçların beşi kül olmamış.,Tarladaki ağaçların yedisi kül olmamış.,Tarladaki ağaçların beşten fazlası kül olmamış.,"Tarladaki ağaçların beşi kül olmuş, hatta yedisi kül olmuş.","Tarladaki ağaçların beşi kül olmuş, belki de yedisi kül olmuş.",Tarladaki ağaçların beşi kül olmuş ama yedisi kül olmamış.,"Tarladaki ağaçların yedisi kül olmamış, hatta beşi kül bile olmamış.","Tarladaki ağaçların yedisi kül olmamış, belki beşi kül bile olmamış.",Tarladaki ağaçların yedisi kül olmamış ama beşi kül olmuş.,Tarladaki ağaçların beşten azı kül olmuş.,Tarladaki ağaçların en fazla dördü kül olmuş.,Tarladaki ağaçların en az biri kül olmuş.
beş-yedi,Hedeflerimizin beşine ulaştık.,Hedeflerimizin yedisine ulaştık.,Hedeflerimizin beşine ulaşmadık.,Hedeflerimizin yedisine ulaşmadık.,Hedeflerimizin beşten fazlasına ulaşmadık.,"Hedeflerimizin beşine ulaştık, hatta yedisine ulaştık.","Hedeflerimizin beşine ulaştık, belki de yedisine ulaştık.",Hedeflerimizin beşine ulaştık ama yedisine ulaşmadık.,"Hedeflerimizin yedisine ulaşmadık, hatta beşine bile ulaşmadık.","Hedeflerimizin yedisine ulaşmadık, belki beşine bile ulaşmadık.",Hedeflerimizin yedisine ulaşmadık ama beşine ulaştık.,Hedeflerimizin beşten azına ulaştık.,Hedeflerimizin en fazla dördüne ulaştık.,Hedeflerimizin en az birine ulaştık.
beş-yedi,Otobüsün beş koltuğu kırık.,Otobüsün yedi koltuğu kırık.,Otobüsün beş koltuğu kırık değil.,Otobüsün yedi koltuğu kırık değil.,Otobüsün beşten fazla koltuğu kırık değil.,"Otobüsün beş koltuğu kırık, hatta yedi koltuğu kırık.","Otobüsün beş koltuğu kırık, belki de yedi koltuğu kırık.",Otobüsün beş koltuğu kırık ama yedi koltuğu kırık değil.,"Otobüsün yedi koltuğu kırık değil, hatta beş koltuğu bile kırık değil.","Otobüsün yedi koltuğu kırık değil, belki beş koltuğu bile kırık değil.",Otobüsün yedi koltuğu kırık değil ama beş koltuğu kırık.,Otobüsün beşten az koltuğu kırık.,Otobüsün en fazla dört koltuğu kırık.,Otobüsün en az bir tane koltuğu kırık.
on-on iki,Bardakların onunu o kırmış.,Bardakların on ikisini o kırmış.,Bardakların onunu o kırmamış.,Bardakların on ikisini o kırmamış.,Bardakların onundan fazlasını o kırmamış.,"Bardakların onunu o kırmış, hatta on ikisini o kırmış.","Bardakların onunu o kırmış, belki de on ikisini o kırmış.",Bardakların onunu o kırmış ama on ikisini o kırmamış.,"Bardakların on ikisini o kırmamış, hatta onunu o kırmamış.","Bardakların on ikisini o kırmamış, belki onunu o kırmamış.",Bardakların on ikisini o kırmamış ama onunu o kırmış.,Bardakların onundan azını o kırmış.,Bardakların en fazla dokuzunu o kırmış.,Bardakların en az birini o kırmış.
on-on iki,Bölüm öğrencilerinden on tanesi sınıfta kaldı.,Bölüm öğrencilerinden on iki tanesi sınıfta kaldı.,Bölüm öğrencilerinden on tanesi sınıfta kalmadı.,Bölüm öğrencilerinden on iki tanesi sınıfta kalmadı.,Bölüm öğrencilerinden onundan fazlası sınıfta kalmadı.,"Bölüm öğrencilerinden on tanesi sınıfta kaldı, hatta on iki tanesi sınıfta kaldı.","Bölüm öğrencilerinden on tanesi sınıfta kaldı, belki de on iki tanesi sınıfta kaldı.",Bölüm öğrencilerinden on tanesi sınıfta kaldı ama on iki tanesi sınıfta kalmadı.,"Bölüm öğrencilerinden on iki tanesi sınıfta kalmadı, hatta on tanesi sınıfta kalmadı.","Bölüm öğrencilerinden on iki tanesi sınıfta kalmadı, belki on tanesi sınıfta kalmadı.",Bölüm öğrencilerinden on iki tanesi sınıfta kalmadı ama on tanesi sınıfta kaldı.,Bölüm öğrencilerinden onundan azı sınıfta kaldı.,Bölüm öğrencilerinden en fazla dokuzu sınıfta kaldı.,Bölüm öğrencilerinden en az biri sınıfta kaldı.
on-on iki,Mekanların on tanesi kapanmış.,Mekanların on iki tanesi kapanmış.,Mekanların on tanesi kapanmamış.,Mekanların on iki tanesi kapanmamış.,Mekanların onundan fazlası kapanmamış.,"Mekanların on tanesi kapanmış, hatta on iki tanesi kapanmış.","Mekanların on tanesi kapanmış, belki de on iki tanesi kapanmış.",Mekanların on tanesi kapanmış ama on iki tanesi kapanmamış.,"Mekanların on iki tanesi kapanmamış, hatta on tanesi kapanmamış.","Mekanların on iki tanesi kapanmamış, belki on tanesi kapanmamış.",Mekanların on iki tanesi kapanmamış ama on tanesi kapanmış.,Mekanların onundan azı kapanmış.,Mekanların en fazla dokuzu kapanmış.,Mekanların en az biri kapanmış.
on-on iki,Adaylardan onu işletme mezunu.,Adaylardan on ikisi işletme mezunu.,Adaylardan onu işletme mezunu değil.,Adaylardan on ikisi işletme mezunu değil.,Adaylardan onundan fazlası işletme mezunu değil.,"Adaylardan onu işletme mezunu, hatta on ikisi işletme mezunu.","Adaylardan onu işletme mezunu, belki de on ikisi işletme mezunu.",Adaylardan onu işletme mezunu ama on ikisi işletme mezunu değil.,"Adaylardan on ikisi işletme mezunu değil, hatta onu işletme mezunu değil.","Adaylardan on ikisi işletme mezunu değil, belki onu işletme mezunu değil.",Adaylardan on ikisi işletme mezunu değil ama onu işletme mezunu.,Adaylardan onundan azı işletme mezunu.,Adaylardan en fazla dokuzu işletme mezunu.,Adaylardan en az biri işletme mezunu.
on-on iki,Şiirin on satırını ezberlemiş.,Şiirin on iki satırını ezberlemiş.,Şiirin on satırını ezberlememiş.,Şiirin on iki satırını ezberlememiş.,Şiirin ondan fazla satırını ezberlememiş.,"Şiirin on satırını ezberlemiş, hatta on iki satırını ezberlemiş.","Şiirin on satırını ezberlemiş, belki de on iki satırını ezberlemiş.",Şiirin on satırını ezberlemiş ama on iki satırını ezberlememiş.,"Şiirin on iki satırını ezberlememiş, hatta on satırını bile ezberlememiş.","Şiirin on iki satırını ezberlememiş, belki on satırını bile ezberlememiş.",Şiirin on iki satırını ezberlememiş ama on satırını ezberlemiş.,Şiirin onundan daha az satırını ezberlemiş.,Şiirin en fazla dokuz satırını ezberlemiş.,Şiirin en az bir satırını ezberlemiş.
on-on iki,Konuştuklarından onu ona katılmış.,Konuştuklarından on ikisi ona katılmış.,Konuştuklarından onu ona katılmamış.,Konuştuklarından on ikisi ona katılmamış.,Konuştuklarından ondan fazlası ona katılmamış.,"Konuştuklarından onu ona katılmış, hatta on ikisi ona katılmış.","Konuştuklarından onu ona katılmış, belki de on ikisi ona katılmış.",Konuştuklarından onu ona katılmış ama on ikisi ona katılmamış.,"Konuştuklarından on ikisi ona katılmamış, hatta onu ona bile katılmamış.","Konuştuklarından on ikisi ona katılmamış, belki onu ona bile katılmamış.",Konuştuklarından on ikisi ona katılmamış ama onu ona katılmış.,Konuştuklarından onundan azı ona katılmış.,Konuştuklarından en fazla dokuzu ona katılmış.,Konuştuklarından en az biri ona katılmış.
on-on iki,Listendeki on şarkıyı dinlemiştim.,Listendeki on iki şarkıyı dinlemiştim.,Listendeki on şarkıyı dinlememiştim.,Listendeki on iki şarkıyı dinlememiştim.,Listendeki ondan fazla şarkıyı dinlememiştim.,"Listendeki on şarkıyı dinlemiştim, hatta on iki şarkıyı dinlemiştim.","Listendeki on şarkıyı dinlemiştim, belki de on iki şarkıyı dinlemiştim.",Listendeki on şarkıyı dinlemiştim ama on iki şarkıyı dinlememiştim.,"Listendeki on iki şarkıyı dinlememiştim, hatta on şarkıyı bile dinlememiştim.","Listendeki on iki şarkıyı dinlememiştim, belki on şarkıyı bile dinlememiştim.",Listendeki on iki şarkıyı dinlememiştim ama on şarkıyı dinlemiştim.,Listendeki ondan az şarkıyı dinlemiştim.,Listendeki en fazla dokuz şarkıyı dinlemiştim.,Listendeki en az bir şarkıyı dinlemiştim.
on-on iki,Elbiselerin on tanesini o dikmiş.,Elbiselerin on iki tanesini o dikmiş.,Elbiselerin on tanesini o dikmemiş.,Elbiselerin on iki tanesini o dikmemiş.,Elbiselerin ondan fazlasını o dikmemiş.,"Elbiselerin on tanesini o dikmiş, hatta on iki tanesini o dikmiş.","Elbiselerin on tanesini o dikmiş, belki de on iki tanesini o dikmiş.",Elbiselerin on tanesini o dikmiş ama on iki tanesini o dikmemiş.,"Elbiselerin on iki tanesini o dikmemiş, hatta on tanesini o dikmemiş.","Elbiselerin on iki tanesini o dikmemiş, belki on tanesini o dikmemiş.",Elbiselerin on iki tanesini o dikmemiş ama on tanesini o dikmiş.,Elbiselerin ondan azını o dikmiş.,Elbiselerin en fazla dokuzunu o dikmiş.,Elbiselerin en az birini o dikmiş.
on-on iki,Klavyenin on tuşu eksik.,Klavyenin on iki tuşu eksik.,Klavyenin on tuşu eksik değil.,Klavyenin on iki tuşu eksik değil.,Klavyenin ondan fazla tuşu eksik değil.,"Klavyenin on tuşu eksik, hatta on iki tuşu eksik.","Klavyenin on tuşu eksik, belki de on iki tuşu eksik.",Klavyenin on tuşu eksik ama on iki tuşu eksik değil.,"Klavyenin on iki tuşu eksik değil, hatta on tuşu bile eksik değil.","Klavyenin on iki tuşu eksik değil, belki on tuşu bile eksik değil.",Klavyenin on iki tuşu eksik değil ama on tuşu eksik.,Klavyenin ondan daha az tuşu eksik.,Klavyenin en fazla dokuz tuşu eksik.,Klavyenin en az bir tane tuşu eksik.
on-on iki,Trendeki on vagon dolu.,Trendeki on iki vagon dolu.,Trendeki on vagon dolu değil.,Trendeki on iki vagon dolu değil.,Trendeki ondan fazla vagon dolu değil.,"Trendeki on vagon dolu, hatta on iki vagon dolu.","Trendeki on vagon dolu, belki de on iki vagon dolu.",Trendeki on vagon dolu ama on iki vagon dolu değil.,"Trendeki on iki vagon dolu değil, hatta on vagon dolu değil.","Trendeki on iki vagon dolu değil, belki on vagon dolu değil.",Trendeki on iki vagon dolu değil ama on vagon dolu.,Trendeki ondan az vagon dolu.,Trendeki en fazla dokuz vagon dolu.,Trendeki en az bir tane vagon dolu.
on beş-yirmi,Bilgisayarların on beşini o almış.,Bilgisayarların yirmisini o almış.,Bilgisayarların on beşini o almamış.,Bilgisayarların yirmisini o almamış.,Bilgisayarların on beşinden fazlasını o almamış.,"Bilgisayarların on beşini o almış, hatta yirmisini o almış.","Bilgisayarların on beşini o almış, belki de yirmisini o almış.",Bilgisayarların on beşini o almış ama yirmisini o almamış.,"Bilgisayarların yirmisini o almamış, hatta on beşini o almamış.","Bilgisayarların yirmisini o almamış, belki on beşini o almamış.",Bilgisayarların yirmisini o almamış ama on beşini o almış.,Bilgisayarların on beşinden azını o almış.,Bilgisayarların en fazla on dördünü o almış.,Bilgisayarların en az birini o almış.
on beş-yirmi,Fayansların on beşi kırık geldi.,Fayansların yirmisi kırık geldi.,Fayansların on beşi kırık gelmedi.,Fayansların yirmisi kırık gelmedi.,Fayansların on beşinden fazlası kırık gelmedi.,"Fayansların on beşi kırık geldi, hatta yirmisi kırık geldi.","Fayansların on beşi kırık geldi, belki de yirmisi kırık geldi.",Fayansların on beşi kırık geldi ama yirmisi kırık gelmedi.,"Fayansların yirmisi kırık gelmedi, hatta on beşi kırık gelmedi.","Fayansların yirmisi kırık gelmedi, belki on beşi kırık gelmedi.",Fayansların yirmisi kırık gelmedi ama on beşi kırık geldi.,Fayansların on beşinden azı kırık geldi.,Fayansların en fazla on dördü kırık geldi.,Fayansların en az biri kırık geldi.
on beş-yirmi,Sunulan planlardan on beş tanesi kabul edildi.,Sunulan planlardan yirmi tanesi kabul edildi.,Sunulan planlardan on beş tanesi kabul edilmedi.,Sunulan planlardan yirmi tanesi kabul edilmedi.,Sunulan planlardan on beşinden fazlası kabul edilmedi.,"Sunulan planlardan on beş tanesi kabul edildi, hatta yirmi tanesi kabul edildi.","Sunulan planlardan on beş tanesi kabul edildi, belki de yirmi tanesi kabul edildi.",Sunulan planlardan on beş tanesi kabul edildi ama yirmi tanesi kabul edilmedi.,"Sunulan planlardan yirmi tanesi kabul edilmedi, hatta on beş tanesi kabul edilmedi.","Sunulan planlardan yirmi tanesi kabul edilmedi, belki on beş tanesi kabul edilmedi.",Sunulan planlardan yirmi tanesi kabul edilmedi ama on beş tanesi kabul edildi.,Sunulan planlardan on beşinden azı kabul edildi.,Sunulan planlardan en fazla on dördü kabul edildi.,Sunulan planlardan en az biri kabul edildi.
on beş-yirmi,Camların on beşi kirli.,Camların yirmisi kirli.,Camların on beşi kirli değil.,Camların yirmisi kirli değil.,Camların on beşinden fazlası kirli değil.,"Camların on beşi kirli, hatta yirmisi kirli.","Camların on beşi kirli, belki de yirmisi kirli.",Camların on beşi kirli ama yirmisi kirli değil.,"Camların yirmisi kirli değil, hatta on beşi kirli değil.","Camların yirmisi kirli değil, belki on beşi kirli değil.",Camların yirmisi kirli değil ama on beşi kirli.,Camların on beşinden azı kirli.,Camların en fazla on dördü kirli.,Camların en az biri kirli.
on beş-yirmi,Yastıklardan on beşini götürdü.,Yastıklardan yirmi tanesini götürdü.,Yastıklardan on beşini götürmedi.,Yastıklardan yirmi tanesini götürmedi.,Yastıklardan on beşten fazlasını götürmedi.,"Yastıklardan on beşini götürdü, hatta yirmi tanesini götürdü.","Yastıklardan on beşini götürdü, belki de yirmi tanesini götürdü.",Yastıklardan on beşini götürdü ama yirmi tanesini götürmedi.,"Yastıklardan yirmi tanesini götürmedi, hatta on beşini bile götürmedi.","Yastıklardan yirmi tanesini götürmedi, belki on beşini bile götürmedi.",Yastıklardan yirmi tanesini götürmedi ama on beşini götürdü.,Yastıklardan on beşinden azını götürdü.,Yastıklardan en fazla on dördünü götürdü.,Yastıklardan en az bir tanesini götürdü.
