ling_category,set_n,sentence_n,scale,premise,hypothesis,category,label
6,2,8,iki-üç-par-n,Oyunun iki bölümünü bitirmedim.,Oyunun üç bölümünü bitirdim.,neutral,1
6,2,9,iki-üç-par-c,Oyunun iki bölümünü bitirmedim.,Oyunun ikiden az bölümünü bitirdim.,neutral,1
6,2,10,iki-üç-par-c,Oyunun iki bölümünü bitirmedim.,Oyunun en fazla bir bölümünü bitirdim.,neutral,1
6,2,11,iki-üç-par-c,Oyunun iki bölümünü bitirmedim.,Oyunun en az bir tane bölümünü bitirdim.,implicature,3
6,3,1,iki-üç-par-n,Projenin iki aşaması tamam.,Projenin üç aşaması tamam değil.,neutral,1
6,3,2,iki-üç-par-n,Projenin ikiden fazla aşaması tamam değil.,Projenin iki aşaması tamam.,neutral,1
6,3,3,iki-üç-par-n,Projenin iki aşaması tamam değil.,Projenin üç aşaması tamam değil.,neutral,1
6,3,4,iki-üç-par-n,Projenin üç aşaması tamam.,Projenin iki aşaması tamam.,entailment,0
6,3,5,iki-üç-par-n,Projenin üç aşaması tamam değil.,Projenin iki aşaması tamam değil.,neutral,1
6,3,6,iki-üç-par-n,Projenin iki aşaması tamam.,Projenin üç aşaması tamam.,neutral,1
6,3,7,iki-üç-par-n,Projenin üç aşaması tamam.,Projenin iki aşaması tamam değil.,neutral,1
6,3,8,iki-üç-par-n,Projenin iki aşaması tamam değil.,Projenin üç aşaması tamam.,neutral,1
6,3,9,iki-üç-par-c,Projenin iki aşaması tamam değil.,Projenin ikiden az aşaması tamam.,neutral,1
6,3,10,iki-üç-par-c,Projenin iki aşaması tamam değil.,Projenin en fazla bir aşaması tamam.,neutral,1
6,3,11,iki-üç-par-c,Projenin iki aşaması tamam değil.,Projenin en az bir tane aşaması tamam.,implicature,3
6,4,1,iki-üç-par-n,Evlerin ikisi depreme dayanıklı.,Evlerin üçü depreme dayanıklı değil.,neutral,1
6,4,2,iki-üç-par-n,Evlerin ikisinden fazlası depreme dayanıklı değil.,Evlerin ikisi depreme dayanıklı.,neutral,1
6,4,3,iki-üç-par-n,Evlerin ikisi depreme dayanıklı değil.,Evlerin üçü depreme dayanıklı değil.,neutral,1
6,4,4,iki-üç-par-n,Evlerin üçü depreme dayanıklı.,Evlerin ikisi depreme dayanıklı.,entailment,0
6,4,5,iki-üç-par-n,Evlerin üçü depreme dayanıklı değil.,Evlerin ikisi depreme dayanıklı değil.,neutral,1
6,4,6,iki-üç-par-n,Evlerin ikisi depreme dayanıklı.,Evlerin üçü depreme dayanıklı.,neutral,1
6,4,7,iki-üç-par-n,Evlerin üçü depreme dayanıklı.,Evlerin ikisi depreme dayanıklı değil.,neutral,1
6,4,8,iki-üç-par-n,Evlerin ikisi depreme dayanıklı değil.,Evlerin üçü depreme dayanıklı.,neutral,1
6,4,9,iki-üç-par-c,Evlerin ikisi depreme dayanıklı değil.,Evlerin ikisinden azı depreme dayanıklı.,neutral,1
6,4,10,iki-üç-par-c,Evlerin ikisi depreme dayanıklı değil.,Evlerin en fazla ikisi depreme dayanıklı.,neutral,1
6,4,11,iki-üç-par-c,Evlerin ikisi depreme dayanıklı değil.,Evlerin en az biri depreme dayanıklı.,implicature,3
6,5,1,iki-üç-par-n,Şirketlerden iki tanesi batmış.,Şirketlerden üçü batmamış.,neutral,1
6,5,2,iki-üç-par-n,Şirketlerden ikisinden fazlası batmamış.,Şirketlerden iki tanesi batmış.,neutral,1
6,5,3,iki-üç-par-n,Şirketlerden ikisi batmamış.,Şirketlerden üçü batmamış.,neutral,1
6,5,4,iki-üç-par-n,Şirketlerden üç tanesi batmış.,Şirketlerden iki tanesi batmış.,entailment,0
6,5,5,iki-üç-par-n,Şirketlerden üçü batmamış.,Şirketlerden ikisi batmamış.,neutral,1
6,5,6,iki-üç-par-n,Şirketlerden iki tanesi batmış.,Şirketlerden üç tanesi batmış.,neutral,1
6,5,7,iki-üç-par-n,Şirketlerden üç tanesi batmış.,Şirketlerden ikisi batmamış.,neutral,1
6,5,8,iki-üç-par-n,Şirketlerden ikisi batmamış.,Şirketlerden üç tanesi batmış.,neutral,1
6,5,9,iki-üç-par-c,Şirketlerden ikisi batmamış.,Şirketlerden ikisinden azı batmış.,neutral,1
6,5,10,iki-üç-par-c,Şirketlerden ikisi batmamış.,Şirketlerden en fazla ikisi batmış.,neutral,1
6,5,11,iki-üç-par-c,Şirketlerden ikisi batmamış.,Şirketlerden en az biri batmış.,implicature,3
6,6,1,iki-üç-par-n,Ödüllerin ikisi bize verilecek.,Ödüllerin üçü bize verilmeyecek.,neutral,1
6,6,2,iki-üç-par-n,Ödüllerin ikisinden fazlası bize verilmeyecek.,Ödüllerin ikisi bize verilecek.,neutral,1
6,6,3,iki-üç-par-n,Ödüllerin ikisi bize verilmeyecek.,Ödüllerin üçü bize verilmeyecek.,neutral,1
6,6,4,iki-üç-par-n,Ödüllerin üçü bize verilecek.,Ödüllerin ikisi bize verilecek.,entailment,0
6,6,5,iki-üç-par-n,Ödüllerin üçü bize verilmeyecek.,Ödüllerin ikisi bize verilmeyecek.,neutral,1
6,6,6,iki-üç-par-n,Ödüllerin ikisi bize verilecek.,Ödüllerin üçü bize verilecek.,neutral,1
6,6,7,iki-üç-par-n,Ödüllerin üçü bize verilecek.,Ödüllerin ikisi bize verilmeyecek.,neutral,1
6,6,8,iki-üç-par-n,Ödüllerin ikisi bize verilmeyecek.,Ödüllerin üçü bize verilecek.,neutral,1
6,6,9,iki-üç-par-c,Ödüllerin ikisi bize verilmeyecek.,Ödüllerin ikisinden azı bize verilecek.,neutral,1
6,6,10,iki-üç-par-c,Ödüllerin ikisi bize verilmeyecek.,Ödüllerin en fazla ikisi bize verilecek.,neutral,1
6,6,11,iki-üç-par-c,Ödüllerin ikisi bize verilmeyecek.,Ödüllerin en az biri bize verilecek.,implicature,3
6,7,1,iki-üç-par-n,Adayların ikisi bura doğumlu.,Adayların üçü bura doğumlu değil.,neutral,1
6,7,2,iki-üç-par-n,Adayların ikisinden fazlası bura doğumlu değil.,Adayların ikisi bura doğumlu.,neutral,1
6,7,3,iki-üç-par-n,Adayların ikisi bura doğumlu değil.,Adayların üçü bura doğumlu değil.,neutral,1
6,7,4,iki-üç-par-n,Adayların üçü bura doğumlu.,Adayların ikisi bura doğumlu.,entailment,0
6,7,5,iki-üç-par-n,Adayların üçü bura doğumlu değil.,Adayların ikisi bura doğumlu değil.,neutral,1
6,7,6,iki-üç-par-n,Adayların ikisi bura doğumlu.,Adayların üçü bura doğumlu.,neutral,1
6,7,7,iki-üç-par-n,Adayların üçü bura doğumlu.,Adayların ikisi bura doğumlu değil.,neutral,1
6,7,8,iki-üç-par-n,Adayların ikisi bura doğumlu değil.,Adayların üçü bura doğumlu.,neutral,1
6,7,9,iki-üç-par-c,Adayların ikisi bura doğumlu değil.,Adayların ikisinden azı bura doğumlu.,neutral,1
6,7,10,iki-üç-par-c,Adayların ikisi bura doğumlu değil.,Adayların en fazla ikisi bura doğumlu.,neutral,1
6,7,11,iki-üç-par-c,Adayların ikisi bura doğumlu değil.,Adayların en az biri bura doğumlu.,implicature,3
6,8,1,iki-üç-par-n,Bu projelerden iki tanesi başarılı olacak.,Bu projelerden üçü başarılı olmayacak.,neutral,1
6,8,2,iki-üç-par-n,Bu projelerden ikisinden fazlası başarılı olmayacak.,Bu projelerden iki tanesi başarılı olacak.,neutral,1
6,8,3,iki-üç-par-n,Bu projelerden ikisi başarılı olmayacak.,Bu projelerden üçü başarılı olmayacak.,neutral,1
6,8,4,iki-üç-par-n,Bu projelerden üç tanesi başarılı olacak.,Bu projelerden iki tanesi başarılı olacak.,entailment,0
6,8,5,iki-üç-par-n,Bu projelerden üçü başarılı olmayacak.,Bu projelerden ikisi başarılı olmayacak.,neutral,1
6,8,6,iki-üç-par-n,Bu projelerden iki tanesi başarılı olacak.,Bu projelerden üç tanesi başarılı olacak.,neutral,1
6,8,7,iki-üç-par-n,Bu projelerden üç tanesi başarılı olacak.,Bu projelerden ikisi başarılı olmayacak.,neutral,1
6,8,8,iki-üç-par-n,Bu projelerden ikisi başarılı olmayacak.,Bu projelerden üç tanesi başarılı olacak.,neutral,1
6,8,9,iki-üç-par-c,Bu projelerden ikisi başarılı olmayacak.,Bu projelerden ikisinden azı başarılı olacak.,neutral,1
6,8,10,iki-üç-par-c,Bu projelerden ikisi başarılı olmayacak.,Bu projelerden en fazla ikisi başarılı olacak.,neutral,1
6,8,11,iki-üç-par-c,Bu projelerden ikisi başarılı olmayacak.,Bu projelerden en az biri başarılı olacak.,implicature,3
6,9,1,iki-üç-par-n,Albümdeki şarkılardan iki tanesi hit olmuş.,Albümdeki şarkılardan üçü hit olmamış.,neutral,1
6,9,2,iki-üç-par-n,Albümdeki şarkılardan ikisinden fazlası hit olmamış.,Albümdeki şarkılardan iki tanesi hit olmuş.,neutral,1
6,9,3,iki-üç-par-n,Albümdeki şarkılardan ikisi hit olmamış.,Albümdeki şarkılardan üçü hit olmamış.,neutral,1
6,9,4,iki-üç-par-n,Albümdeki şarkılardan üç tanesi hit olmuş.,Albümdeki şarkılardan iki tanesi hit olmuş.,entailment,0
6,9,5,iki-üç-par-n,Albümdeki şarkılardan üçü hit olmamış.,Albümdeki şarkılardan ikisi hit olmamış.,neutral,1
6,9,6,iki-üç-par-n,Albümdeki şarkılardan iki tanesi hit olmuş.,Albümdeki şarkılardan üç tanesi hit olmuş.,neutral,1
6,9,7,iki-üç-par-n,Albümdeki şarkılardan üç tanesi hit olmuş.,Albümdeki şarkılardan ikisi hit olmamış.,neutral,1
6,9,8,iki-üç-par-n,Albümdeki şarkılardan ikisi hit olmamış.,Albümdeki şarkılardan üç tanesi hit olmuş.,neutral,1
6,9,9,iki-üç-par-c,Albümdeki şarkılardan ikisi hit olmamış.,Albümdeki şarkılardan ikisinden azı hit olmuş.,neutral,1
6,9,10,iki-üç-par-c,Albümdeki şarkılardan ikisi hit olmamış.,Albümdeki şarkılardan en fazla ikisi hit olmuş.,neutral,1
6,9,11,iki-üç-par-c,Albümdeki şarkılardan ikisi hit olmamış.,Albümdeki şarkılardan en az biri hit olmuş.,implicature,3
6,10,1,iki-üç-par-n,Gözlüklerimin iki tanesi kayıp.,Gözlüklerimin üçü kayıp değil.,neutral,1
6,10,2,iki-üç-par-n,Gözlüklerimin ikisinden fazlası kayıp değil.,Gözlüklerimin iki tanesi kayıp.,neutral,1
6,10,3,iki-üç-par-n,Gözlüklerimin ikisi kayıp değil.,Gözlüklerimin üçü kayıp değil.,neutral,1
6,10,4,iki-üç-par-n,Gözlüklerimin üç tanesi kayıp.,Gözlüklerimin iki tanesi kayıp.,entailment,0
6,10,5,iki-üç-par-n,Gözlüklerimin üçü kayıp değil.,Gözlüklerimin ikisi kayıp değil.,neutral,1
6,10,6,iki-üç-par-n,Gözlüklerimin iki tanesi kayıp.,Gözlüklerimin üç tanesi kayıp.,neutral,1
6,10,7,iki-üç-par-n,Gözlüklerimin üç tanesi kayıp.,Gözlüklerimin ikisi kayıp değil.,neutral,1
6,10,8,iki-üç-par-n,Gözlüklerimin ikisi kayıp değil.,Gözlüklerimin üç tanesi kayıp.,neutral,1
6,10,9,iki-üç-par-c,Gözlüklerimin ikisi kayıp değil.,Gözlüklerimin ikisinden azı kayıp.,neutral,1
6,10,10,iki-üç-par-c,Gözlüklerimin ikisi kayıp değil.,Gözlüklerimin en fazla ikisi kayıp.,neutral,1
6,10,11,iki-üç-par-c,Gözlüklerimin ikisi kayıp değil.,Gözlüklerimin en az biri kayıp.,implicature,3
6,11,1,beş-yedi-par-n,Fikirlerinden beş tanesi mantıklı.,Fikirlerinden yedisi mantıklı değil.,neutral,1
6,11,2,beş-yedi-par-n,Fikirlerinden beşten fazlası mantıklı değil.,Fikirlerinden beş tanesi mantıklı.,neutral,1
6,11,3,beş-yedi-par-n,Fikirlerinden beşi mantıklı değil.,Fikirlerinden yedisi mantıklı değil.,neutral,1
6,11,4,beş-yedi-par-n,Fikirlerinden yedi tanesi mantıklı.,Fikirlerinden beş tanesi mantıklı.,entailment,0
6,11,5,beş-yedi-par-n,Fikirlerinden yedisi mantıklı değil.,Fikirlerinden beşi mantıklı değil.,neutral,1
6,11,6,beş-yedi-par-n,Fikirlerinden beş tanesi mantıklı.,Fikirlerinden yedi tanesi mantıklı.,neutral,1
6,11,7,beş-yedi-par-n,Fikirlerinden yedi tanesi mantıklı.,Fikirlerinden beşi mantıklı değil.,neutral,1
6,11,8,beş-yedi-par-n,Fikirlerinden beşi mantıklı değil.,Fikirlerinden yedi tanesi mantıklı.,neutral,1
6,11,9,beş-yedi-par-c,Fikirlerinden beşi mantıklı değil.,Fikirlerinden beşten azı mantıklı.,neutral,1
6,11,10,beş-yedi-par-c,Fikirlerinden beşi mantıklı değil.,Fikirlerinden en fazla dördü mantıklı.,neutral,1
6,11,11,beş-yedi-par-c,Fikirlerinden beşi mantıklı değil.,Fikirlerinden en az biri mantıklı.,implicature,3
6,12,1,beş-yedi-par-n,Televizyonlarınızdan beş tanesi bozuk çıktı.,Televizyonlarınızdan yedisi bozuk çıkmadı.,neutral,1
6,12,2,beş-yedi-par-n,Televizyonlarınızdan beşten fazlası bozuk çıkmadı.,Televizyonlarınızdan beş tanesi bozuk çıktı.,neutral,1
6,12,3,beş-yedi-par-n,Televizyonlarınızdan beşi bozuk çıkmadı.,Televizyonlarınızdan yedisi bozuk çıkmadı.,neutral,1
6,12,4,beş-yedi-par-n,Televizyonlarınızdan yedi tanesi bozuk çıktı.,Televizyonlarınızdan beş tanesi bozuk çıktı.,entailment,0
6,12,5,beş-yedi-par-n,Televizyonlarınızdan yedisi bozuk çıkmadı.,Televizyonlarınızdan beşi bozuk çıkmadı.,neutral,1
6,12,6,beş-yedi-par-n,Televizyonlarınızdan beş tanesi bozuk çıktı.,Televizyonlarınızdan yedi tanesi bozuk çıktı.,neutral,1
6,12,7,beş-yedi-par-n,Televizyonlarınızdan yedi tanesi bozuk çıktı.,Televizyonlarınızdan beşi bozuk çıkmadı.,neutral,1
6,12,8,beş-yedi-par-n,Televizyonlarınızdan beşi bozuk çıkmadı.,Televizyonlarınızdan yedi tanesi bozuk çıktı.,neutral,1
6,12,9,beş-yedi-par-c,Televizyonlarınızdan beşi bozuk çıkmadı.,Televizyonlarınızdan beşten azı bozuk çıktı.,neutral,1
6,12,10,beş-yedi-par-c,Televizyonlarınızdan beşi bozuk çıkmadı.,Televizyonlarınızdan en fazla dördü bozuk çıktı.,neutral,1
6,12,11,beş-yedi-par-c,Televizyonlarınızdan beşi bozuk çıkmadı.,Televizyonlarınızdan en az biri bozuk çıktı.,implicature,3
6,13,1,beş-yedi-par-n,Kumandanın beş tuşu çalışıyor.,Kumandanın yedi tuşu çalışmıyor.,neutral,1
6,13,2,beş-yedi-par-n,Kumandanın beş tuşundan fazlası çalışmıyor.,Kumandanın beş tuşu çalışıyor.,neutral,1
6,13,3,beş-yedi-par-n,Kumandanın beş tuşu çalışmıyor.,Kumandanın yedi tuşu çalışmıyor.,neutral,1
6,13,4,beş-yedi-par-n,Kumandanın yedi tuşu çalışıyor.,Kumandanın beş tuşu çalışıyor.,entailment,0
6,13,5,beş-yedi-par-n,Kumandanın yedi tuşu çalışmıyor.,Kumandanın beş tuşu çalışmıyor.,neutral,1
6,13,6,beş-yedi-par-n,Kumandanın beş tuşu çalışıyor.,Kumandanın yedi tuşu çalışıyor.,neutral,1
6,13,7,beş-yedi-par-n,Kumandanın yedi tuşu çalışıyor.,Kumandanın beş tuşu çalışmıyor.,neutral,1
6,13,8,beş-yedi-par-n,Kumandanın beş tuşu çalışmıyor.,Kumandanın yedi tuşu çalışıyor.,neutral,1
6,13,9,beş-yedi-par-c,Kumandanın beş tuşu çalışmıyor.,Kumandanın beş tuşundan azı çalışıyor.,neutral,1
6,13,10,beş-yedi-par-c,Kumandanın beş tuşu çalışmıyor.,Kumandanın en fazla dört tuşu çalışıyor.,neutral,1
6,13,11,beş-yedi-par-c,Kumandanın beş tuşu çalışmıyor.,Kumandanın en az bir tuşu çalışıyor.,implicature,3
6,14,1,beş-yedi-par-n,Ağaçların beşini ben diktim.,Ağaçların yedisini ben dikmedim.,neutral,1
6,14,2,beş-yedi-par-n,Ağaçların beşinden fazlasını ben dikmedim.,Ağaçların beşini ben diktim.,neutral,1
6,14,3,beş-yedi-par-n,Ağaçların beşini ben dikmedim.,Ağaçların yedisini ben dikmedim.,neutral,1
6,14,4,beş-yedi-par-n,Ağaçların yedisini ben diktim.,Ağaçların beşini ben diktim.,entailment,0
6,14,5,beş-yedi-par-n,Ağaçların yedisini ben dikmedim.,Ağaçların beşini ben dikmedim.,neutral,1
6,14,6,beş-yedi-par-n,Ağaçların beşini ben diktim.,Ağaçların yedisini ben diktim.,neutral,1
6,14,7,beş-yedi-par-n,Ağaçların yedisini ben diktim.,Ağaçların beşini ben dikmedim.,neutral,1
6,14,8,beş-yedi-par-n,Ağaçların beşini ben dikmedim.,Ağaçların yedisini ben diktim.,neutral,1
6,14,9,beş-yedi-par-c,Ağaçların beşini ben dikmedim.,Ağaçların beşinden azını ben diktim.,neutral,1
6,14,10,beş-yedi-par-c,Ağaçların beşini ben dikmedim.,Ağaçların en fazla dördünü ben diktim.,neutral,1
6,14,11,beş-yedi-par-c,Ağaçların beşini ben dikmedim.,Ağaçların en az birini ben diktim.,implicature,3
6,15,1,beş-yedi-par-n,Spor salonundan beş kişi gelmiş.,Spor salonundan yedi kişi gelmemiş.,neutral,1
6,15,2,beş-yedi-par-n,Spor salonundan beşten fazla kişi gelmemiş.,Spor salonundan beş kişi gelmiş.,neutral,1
6,15,3,beş-yedi-par-n,Spor salonundan beş kişi gelmemiş.,Spor salonundan yedi kişi gelmemiş.,neutral,1
6,15,4,beş-yedi-par-n,Spor salonundan yedi kişi gelmiş.,Spor salonundan beş kişi gelmiş.,entailment,0
6,15,5,beş-yedi-par-n,Spor salonundan yedi kişi gelmemiş.,Spor salonundan beş kişi gelmemiş.,neutral,1
6,15,6,beş-yedi-par-n,Spor salonundan beş kişi gelmiş.,Spor salonundan yedi kişi gelmiş.,neutral,1
6,15,7,beş-yedi-par-n,Spor salonundan yedi kişi gelmiş.,Spor salonundan beş kişi gelmemiş.,neutral,1
6,15,8,beş-yedi-par-n,Spor salonundan beş kişi gelmemiş.,Spor salonundan yedi kişi gelmiş.,neutral,1
6,15,9,beş-yedi-par-c,Spor salonundan beş kişi gelmemiş.,Spor salonundan beşten az kişi gelmiş.,neutral,1
6,15,10,beş-yedi-par-c,Spor salonundan beş kişi gelmemiş.,Spor salonundan en fazla dört kişi gelmiş.,neutral,1
6,15,11,beş-yedi-par-c,Spor salonundan beş kişi gelmemiş.,Spor salonundan en az bir tane kişi gelmiş.,implicature,3
6,16,1,beş-yedi-par-n,Eski kurulun beş üyesini öldürmüşler.,Eski kurulun yedi üyesini öldürmemişler.,neutral,1
6,16,2,beş-yedi-par-n,Eski kurulun beşten fazla üyesini öldürmemişler.,Eski kurulun beş üyesini öldürmüşler.,neutral,1
6,16,3,beş-yedi-par-n,Eski kurulun beş üyesini öldürmemişler.,Eski kurulun yedi üyesini öldürmemişler.,neutral,1
6,16,4,beş-yedi-par-n,Eski kurulun yedi üyesini öldürmüşler.,Eski kurulun beş üyesini öldürmüşler.,entailment,0
6,16,5,beş-yedi-par-n,Eski kurulun yedi üyesini öldürmemişler.,Eski kurulun beş üyesini öldürmemişler.,neutral,1
6,16,6,beş-yedi-par-n,Eski kurulun beş üyesini öldürmüşler.,Eski kurulun yedi üyesini öldürmüşler.,neutral,1
6,16,7,beş-yedi-par-n,Eski kurulun yedi üyesini öldürmüşler.,Eski kurulun beş üyesini öldürmemişler.,neutral,1
6,16,8,beş-yedi-par-n,Eski kurulun beş üyesini öldürmemişler.,Eski kurulun yedi üyesini öldürmüşler.,neutral,1
6,16,9,beş-yedi-par-c,Eski kurulun beş üyesini öldürmemişler.,Eski kurulun beşten az üyesini öldürmüşler.,neutral,1
6,16,10,beş-yedi-par-c,Eski kurulun beş üyesini öldürmemişler.,Eski kurulun en fazla dört üyesini öldürmüşler.,neutral,1
6,16,11,beş-yedi-par-c,Eski kurulun beş üyesini öldürmemişler.,Eski kurulun en az bir tane üyesini öldürmüşler.,implicature,3
6,17,1,beş-yedi-par-n,Otobüsteki yolculardan beşi uyuyordu.,Otobüsteki yolculardan yedisi uyumuyordu.,neutral,1
6,17,2,beş-yedi-par-n,Otobüsteki yolculardan beşten fazlası uyumuyordu.,Otobüsteki yolculardan beşi uyuyordu.,neutral,1
6,17,3,beş-yedi-par-n,Otobüsteki yolculardan beşi uyumuyordu.,Otobüsteki yolculardan yedisi uyumuyordu.,neutral,1
6,17,4,beş-yedi-par-n,Otobüsteki yolculardan yedisi uyuyordu.,Otobüsteki yolculardan beşi uyuyordu.,entailment,0
6,17,5,beş-yedi-par-n,Otobüsteki yolculardan yedisi uyumuyordu.,Otobüsteki yolculardan beşi uyumuyordu.,neutral,1
6,17,6,beş-yedi-par-n,Otobüsteki yolculardan beşi uyuyordu.,Otobüsteki yolculardan yedisi uyuyordu.,neutral,1
6,17,7,beş-yedi-par-n,Otobüsteki yolculardan yedisi uyuyordu.,Otobüsteki yolculardan beşi uyumuyordu.,neutral,1
6,17,8,beş-yedi-par-n,Otobüsteki yolculardan beşi uyumuyordu.,Otobüsteki yolculardan yedisi uyuyordu.,neutral,1
6,17,9,beş-yedi-par-c,Otobüsteki yolculardan beşi uyumuyordu.,Otobüsteki yolculardan beşten azı uyuyordu.,neutral,1
6,17,10,beş-yedi-par-c,Otobüsteki yolculardan beşi uyumuyordu.,Otobüsteki yolculardan en fazla dördü uyuyordu.,neutral,1
6,17,11,beş-yedi-par-c,Otobüsteki yolculardan beşi uyumuyordu.,Otobüsteki yolculardan en az biri uyuyordu.,implicature,3
6,18,1,beş-yedi-par-n,Tarladaki ağaçların beşi kül olmuş.,Tarladaki ağaçların yedisi kül olmamış.,neutral,1
6,18,2,beş-yedi-par-n,Tarladaki ağaçların beşten fazlası kül olmamış.,Tarladaki ağaçların beşi kül olmuş.,neutral,1
6,18,3,beş-yedi-par-n,Tarladaki ağaçların beşi kül olmamış.,Tarladaki ağaçların yedisi kül olmamış.,neutral,1
6,18,4,beş-yedi-par-n,Tarladaki ağaçların yedisi kül olmuş.,Tarladaki ağaçların beşi kül olmuş.,entailment,0
6,18,5,beş-yedi-par-n,Tarladaki ağaçların yedisi kül olmamış.,Tarladaki ağaçların beşi kül olmamış.,neutral,1
6,18,6,beş-yedi-par-n,Tarladaki ağaçların beşi kül olmuş.,Tarladaki ağaçların yedisi kül olmuş.,neutral,1
6,18,7,beş-yedi-par-n,Tarladaki ağaçların yedisi kül olmuş.,Tarladaki ağaçların beşi kül olmamış.,neutral,1
6,18,8,beş-yedi-par-n,Tarladaki ağaçların beşi kül olmamış.,Tarladaki ağaçların yedisi kül olmuş.,neutral,1
6,18,9,beş-yedi-par-c,Tarladaki ağaçların beşi kül olmamış.,Tarladaki ağaçların beşten azı kül olmuş.,neutral,1
6,18,10,beş-yedi-par-c,Tarladaki ağaçların beşi kül olmamış.,Tarladaki ağaçların en fazla dördü kül olmuş.,neutral,1
6,18,11,beş-yedi-par-c,Tarladaki ağaçların beşi kül olmamış.,Tarladaki ağaçların en az biri kül olmuş.,implicature,3
6,19,1,beş-yedi-par-n,Hedeflerimizin beşine ulaştık.,Hedeflerimizin yedisine ulaşmadık.,neutral,1
6,19,2,beş-yedi-par-n,Hedeflerimizin beşten fazlasına ulaşmadık.,Hedeflerimizin beşine ulaştık.,neutral,1
6,19,3,beş-yedi-par-n,Hedeflerimizin beşine ulaşmadık.,Hedeflerimizin yedisine ulaşmadık.,neutral,1
6,19,4,beş-yedi-par-n,Hedeflerimizin yedisine ulaştık.,Hedeflerimizin beşine ulaştık.,entailment,0
6,19,5,beş-yedi-par-n,Hedeflerimizin yedisine ulaşmadık.,Hedeflerimizin beşine ulaşmadık.,neutral,1
6,19,6,beş-yedi-par-n,Hedeflerimizin beşine ulaştık.,Hedeflerimizin yedisine ulaştık.,neutral,1
6,19,7,beş-yedi-par-n,Hedeflerimizin yedisine ulaştık.,Hedeflerimizin beşine ulaşmadık.,neutral,1
6,19,8,beş-yedi-par-n,Hedeflerimizin beşine ulaşmadık.,Hedeflerimizin yedisine ulaştık.,neutral,1
6,19,9,beş-yedi-par-c,Hedeflerimizin beşine ulaşmadık.,Hedeflerimizin beşten azına ulaştık.,neutral,1
6,19,10,beş-yedi-par-c,Hedeflerimizin beşine ulaşmadık.,Hedeflerimizin en fazla dördüne ulaştık.,neutral,1
6,19,11,beş-yedi-par-c,Hedeflerimizin beşine ulaşmadık.,Hedeflerimizin en az birine ulaştık.,implicature,3
6,20,1,beş-yedi-par-n,Otobüsün beş koltuğu kırık.,Otobüsün yedi koltuğu kırık değil.,neutral,1
6,20,2,beş-yedi-par-n,Otobüsün beşten fazla koltuğu kırık değil.,Otobüsün beş koltuğu kırık.,neutral,1
6,20,3,beş-yedi-par-n,Otobüsün beş koltuğu kırık değil.,Otobüsün yedi koltuğu kırık değil.,neutral,1
6,20,4,beş-yedi-par-n,Otobüsün yedi koltuğu kırık.,Otobüsün beş koltuğu kırık.,entailment,0
6,20,5,beş-yedi-par-n,Otobüsün yedi koltuğu kırık değil.,Otobüsün beş koltuğu kırık değil.,neutral,1
6,20,6,beş-yedi-par-n,Otobüsün beş koltuğu kırık.,Otobüsün yedi koltuğu kırık.,neutral,1
